Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Fri Feb  8 13:07:01 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+----------------------------------------------+--------+-------------+
| Net Name                                     | Fanout | Driver Type |
+----------------------------------------------+--------+-------------+
| muon_sorter_1/max_pt_12_rep_0[12]            |     75 | LUT6        |
| muon_sorter_1/max_pt_13_rep_62[2]            |     64 | LUT6        |
| muon_sorter_1/max_pt_11_rep_64[11]           |     63 | LUT6        |
| muon_sorter_1/roi_ret_28570                  |     62 | FDRE        |
| muon_sorter_1/max_pt_13_rep_59[9]            |     61 | LUT6        |
| muon_sorter_1/N_20479_reto                   |     59 | LUT5        |
| muon_sorter_1/max_pt_0[12]                   |     59 | LUT6        |
| muon_sorter_1/max_pt_10[27]                  |     59 | LUT6        |
| muon_sorter_1/max_pt_10[8]                   |     59 | LUT6        |
| muon_sorter_1/max_pt_11[14]                  |     59 | LUT6        |
| muon_sorter_1/max_pt_12_rep_17[29]           |     59 | LUT6        |
| muon_sorter_1/max_pt_13[22]                  |     59 | LUT6        |
| muon_sorter_1/max_pt_14[10]                  |     59 | LUT5        |
| muon_sorter_1/max_pt_14[16]                  |     59 | LUT6        |
| muon_sorter_1/max_pt_14[25]                  |     59 | LUT6        |
| muon_sorter_1/max_pt_14[2]                   |     59 | LUT6        |
| muon_sorter_1/max_pt_1[31]                   |     59 | LUT6        |
| muon_sorter_1/max_pt_1_rep_15[1]             |     59 | LUT6        |
| muon_sorter_1/max_pt_6[12]                   |     59 | LUT6        |
| muon_sorter_1/max_pt_6[3]                    |     59 | LUT5        |
| muon_sorter_1/max_pt_8[30]                   |     59 | LUT6        |
| muon_sorter_1/max_pt_8[5]                    |     59 | LUT6        |
| muon_sorter_1/N_632_reto                     |     58 | LUT5        |
| muon_sorter_1/max_pt_0[30]                   |     58 | LUT6        |
| muon_sorter_1/max_pt_0[3]                    |     58 | LUT6        |
| muon_sorter_1/max_pt_11[1]                   |     58 | LUT5        |
| muon_sorter_1/max_pt_11_rep_78[16]           |     58 | LUT6        |
| muon_sorter_1/max_pt_12[22]                  |     58 | LUT6        |
| muon_sorter_1/max_pt_12_rep_23[1]            |     58 | LUT6        |
| muon_sorter_1/max_pt_13[1]                   |     58 | LUT5        |
| muon_sorter_1/max_pt_14[1]                   |     58 | LUT5        |
| muon_sorter_1/max_pt_1[14]                   |     58 | LUT6        |
| muon_sorter_1/max_pt_3_rep_39[29]            |     58 | LUT6        |
| muon_sorter_1/max_pt_5[6]                    |     58 | LUT6        |
| muon_sorter_1/max_pt_6[24]                   |     58 | LUT5        |
| muon_sorter_1/max_pt_6[7]                    |     58 | LUT6        |
| muon_sorter_1/max_pt_8[17]                   |     58 | LUT6        |
| muon_sorter_1/max_pt_8[4]                    |     58 | LUT6        |
| muon_sorter_1/max_pt_9[16]                   |     58 | LUT5        |
| muon_sorter_1/max_pt_9[1]                    |     58 | LUT6        |
| muon_sorter_1/max_pt_12_rep_34[11]           |     57 | LUT6        |
| muon_sorter_1/max_pt_13[19]                  |     57 | LUT6        |
| muon_sorter_1/max_pt_13[24]                  |     57 | LUT6        |
| muon_sorter_1/max_pt_13_rep_70[0]            |     57 | LUT6        |
| muon_sorter_1/max_pt_14[28]                  |     57 | LUT6        |
| muon_sorter_1/max_pt_14[3]                   |     57 | LUT6        |
| muon_sorter_1/max_pt_1[21]                   |     57 | LUT6        |
| muon_sorter_1/max_pt_4[9]                    |     57 | LUT6        |
| muon_sorter_1/max_pt_5[12]                   |     57 | LUT6        |
| muon_sorter_1/max_pt_5_rep_146[29]           |     57 | LUT6        |
| muon_sorter_1/max_pt_6[5]                    |     57 | LUT6        |
| muon_sorter_1/max_pt_8[28]                   |     57 | LUT6        |
| muon_sorter_1/max_pt_9[13]                   |     57 | LUT5        |
| muon_sorter_1/max_pt_9_rep_267[2]            |     57 | LUT6        |
| muon_sorter_1/N_633_reto                     |     56 | LUT6        |
| muon_sorter_1/N_634_reto                     |     56 | LUT5        |
| muon_sorter_1/N_781_reto                     |     56 | LUT3        |
| muon_sorter_1/max_pt_0[15]                   |     56 | LUT6        |
| muon_sorter_1/max_pt_10[18]                  |     56 | LUT6        |
| muon_sorter_1/max_pt_12[31]                  |     56 | LUT6        |
| muon_sorter_1/max_pt_14[0]                   |     56 | LUT6        |
| muon_sorter_1/max_pt_14[27]                  |     56 | LUT6        |
| muon_sorter_1/max_pt_3[7]                    |     56 | LUT6        |
| muon_sorter_1/max_pt_4[10]                   |     56 | LUT6        |
| muon_sorter_1/max_pt_5_rep_284[13]           |     56 | LUT6        |
| muon_sorter_1/max_pt_8_2_4[14]               |     56 | LUT6        |
| muon_sorter_1/max_pt_8_3_4[14]               |     56 | LUT6        |
| muon_sorter_1/max_pt_0[20]                   |     55 | LUT6        |
| muon_sorter_1/max_pt_13[17]                  |     55 | LUT5        |
| muon_sorter_1/max_pt_13[25]                  |     55 | LUT6        |
| muon_sorter_1/max_pt_14[14]                  |     55 | LUT6        |
| muon_sorter_1/max_pt_1[3]                    |     55 | LUT6        |
| muon_sorter_1/max_pt_1_2_4[5]                |     55 | LUT6        |
| muon_sorter_1/max_pt_3[29]                   |     55 | LUT6        |
| muon_sorter_1/max_pt_6[17]                   |     55 | LUT6        |
| muon_sorter_1/max_pt_6[25]                   |     55 | LUT6        |
| muon_sorter_1/max_pt_8_25_N_12               |     55 | FDRE        |
| muon_sorter_1/max_pt_10[7]                   |     54 | LUT5        |
| muon_sorter_1/max_pt_12_rep_52[13]           |     54 | LUT6        |
| muon_sorter_1/max_pt_1[10]                   |     54 | LUT6        |
| muon_sorter_1/max_pt_1_3_4[5]                |     54 | LUT5        |
| muon_sorter_1/max_pt_2[11]                   |     54 | LUT6        |
| muon_sorter_1/max_pt_2[21]                   |     54 | LUT4        |
| muon_sorter_1/max_pt_3_rep_114[24]           |     54 | LUT6        |
| muon_sorter_1/max_pt_3_rep_384[31]           |     54 | LUT6        |
| muon_sorter_1/max_pt_4[7]                    |     54 | LUT6        |
| muon_sorter_1/max_pt_5_rep_328[24]           |     54 | LUT6        |
| muon_sorter_1/max_pt_8[19]                   |     54 | LUT6        |
| muon_sorter_1/max_pt_8[1]                    |     54 | LUT6        |
| muon_sorter_1/N_17148                        |     53 | LUT6        |
| muon_sorter_1/max_pt_0[29]                   |     53 | LUT6        |
| muon_sorter_1/max_pt_10[29]                  |     53 | LUT4        |
