Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Fri Feb  8 21:50:08 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+-----------------------------------------------------------+--------+-------------+
| Net Name                                                  | Fanout | Driver Type |
+-----------------------------------------------------------+--------+-------------+
| muon_sorter_1/max_pt_0[0]                                 |     65 | LUT6        |
| muon_sorter_1/N_17442_rep_680                             |     64 | LUT5        |
| muon_sorter_1/max_pt_10_21_d0                             |     64 | LUT4        |
| muon_sorter_1/max_pt_12[25]                               |     64 | LUT6        |
| muon_sorter_1/max_pt_10[30]                               |     62 | LUT6        |
| muon_sorter_1/max_pt_12[29]                               |     62 | LUT6        |
| muon_sorter_1/max_pt_2_rep_45[8]                          |     62 | LUT6        |
| muon_sorter_1/max_pt_0_rep_98_0                           |     61 | LUT6        |
| muon_sorter_1/max_pt_11[23]                               |     61 | LUT4        |
| muon_sorter_1/max_pt_12[3]                                |     61 | LUT6        |
| muon_sorter_1/max_pt_5_rep_513[27]                        |     61 | LUT6        |
| muon_sorter_1/max_pt_0[20]                                |     60 | LUT6        |
| muon_sorter_1/max_pt_11[10]                               |     60 | LUT6        |
| muon_sorter_1/max_pt_12[17]                               |     60 | LUT6        |
| muon_sorter_1/max_pt_4[12]                                |     60 | LUT6        |
| muon_sorter_1/max_pt_6[21]                                |     60 | LUT6        |
| muon_sorter_1/max_pt_8[26]                                |     60 | LUT6        |
| muon_sorter_1/max_pt_9_0                                  |     60 | LUT6        |
| muon_sorter_1/max_pt_0[31]                                |     59 | LUT6        |
| muon_sorter_1/max_pt_0_5                                  |     59 | LUT5        |
| muon_sorter_1/max_pt_0_rep_25[0]                          |     59 | LUT6        |
| muon_sorter_1/max_pt_10_25_d0                             |     59 | LUT6        |
| muon_sorter_1/max_pt_13[16]                               |     59 | LUT6        |
| muon_sorter_1/max_pt_1_22[30]                             |     59 | LUT6        |
| muon_sorter_1/max_pt_2[12]                                |     59 | LUT4        |
| muon_sorter_1/max_pt_3_rep_64_0                           |     59 | LUT4        |
| muon_sorter_1/max_pt_4[20]                                |     59 | LUT6        |
| muon_sorter_1/max_pt_8[12]                                |     59 | LUT6        |
| muon_sorter_1/max_pt_1_1[30]                              |     58 | LUT6        |
| muon_sorter_1/max_pt_2[22]                                |     58 | LUT6        |
| muon_sorter_1/max_pt_5[19]                                |     58 | LUT6        |
| muon_sorter_1/max_pt_6[4]                                 |     58 | LUT6        |
| muon_sorter_1/max_pt_7[16]                                |     58 | LUT6        |
| muon_sorter_1/max_pt_9[22]                                |     58 | LUT4        |
| muon_sorter_1/pt_compare_11_28_0_a2_0_a2_23_N_11_mux      |     58 | LUT6        |
| muon_sorter_1/max_pt_11[22]                               |     57 | LUT4        |
| muon_sorter_1/max_pt_11[2]                                |     57 | LUT6        |
| muon_sorter_1/max_pt_11[8]                                |     57 | LUT5        |
| muon_sorter_1/max_pt_13[29]                               |     57 | LUT6        |
| muon_sorter_1/max_pt_13[2]                                |     57 | LUT6        |
| muon_sorter_1/max_pt_13[9]                                |     57 | LUT6        |
| muon_sorter_1/max_pt_1[26]                                |     57 | LUT6        |
| muon_sorter_1/max_pt_2[4]                                 |     57 | LUT5        |
