Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Fri Feb  8 18:43:27 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+-------------------------------------------------+--------+-------------+
| Net Name                                        | Fanout | Driver Type |
+-------------------------------------------------+--------+-------------+
| muon_sorter_1/max_pt_1_10                       |     75 | LUT4        |
| muon_sorter_1/max_pt_12_rep_5[19]               |     66 | LUT6        |
| muon_sorter_1/max_pt_12_rep_7[16]               |     64 | LUT6        |
| muon_sorter_1/max_pt_0[9]                       |     63 | LUT6        |
| muon_sorter_1/max_pt_11_rep_9[6]                |     63 | LUT6        |
| muon_sorter_1/max_pt_11_rep_23[12]              |     62 | LUT6        |
| muon_sorter_1/roi_ret_26563                     |     62 | FDRE        |
| muon_sorter_1/max_pt_3[14]                      |     61 | LUT6        |
| muon_sorter_1/max_pt_3[20]                      |     60 | LUT6        |
| muon_sorter_1/N_634_reto                        |     59 | LUT5        |
| muon_sorter_1/max_pt_0_rep_1[0]                 |     59 | LUT6        |
| muon_sorter_1/max_pt_10[1]                      |     59 | LUT5        |
| muon_sorter_1/max_pt_11_rep_36[11]              |     59 | LUT6        |
| muon_sorter_1/max_pt_12[10]                     |     59 | LUT6        |
| muon_sorter_1/max_pt_13[1]                      |     59 | LUT5        |
| muon_sorter_1/max_pt_13_rep_347[8]              |     59 | LUT6        |
| muon_sorter_1/max_pt_14[2]                      |     59 | LUT6        |
| muon_sorter_1/max_pt_6[12]                      |     59 | LUT6        |
| muon_sorter_1/max_pt_9[13]                      |     59 | LUT5        |
| muon_sorter_1/N_20479_reto                      |     58 | LUT5        |
| muon_sorter_1/max_pt_12_rep_40[22]              |     58 | LUT6        |
| muon_sorter_1/max_pt_13[21]                     |     58 | LUT4        |
| muon_sorter_1/max_pt_13_rep_24[2]               |     58 | LUT6        |
| muon_sorter_1/max_pt_14[14]                     |     58 | LUT6        |
| muon_sorter_1/max_pt_14[16]                     |     58 | LUT6        |
| muon_sorter_1/max_pt_14[28]                     |     58 | LUT6        |
| muon_sorter_1/max_pt_14[3]                      |     58 | LUT6        |
| muon_sorter_1/max_pt_1[21]                      |     58 | LUT6        |
| muon_sorter_1/max_pt_2[21]                      |     58 | LUT6        |
| muon_sorter_1/max_pt_7[17]                      |     58 | LUT6        |
| muon_sorter_1/max_pt_8[28]                      |     58 | LUT6        |
| muon_sorter_1/max_pt_8_2_4[14]                  |     58 | LUT6        |
| muon_sorter_1/max_pt_8_3_4[14]                  |     58 | LUT6        |
| muon_sorter_1/max_pt_9[0]                       |     58 | LUT4        |
| muon_sorter_1/max_pt_9[16]                      |     58 | LUT5        |
| muon_sorter_1/max_pt_0[15]                      |     57 | LUT6        |
| muon_sorter_1/max_pt_0[3]                       |     57 | LUT6        |
| muon_sorter_1/max_pt_11[14]                     |     57 | LUT6        |
| muon_sorter_1/max_pt_13[13]                     |     57 | LUT6        |
| muon_sorter_1/max_pt_1[17]                      |     57 | LUT6        |
| muon_sorter_1/max_pt_4[30]                      |     57 | LUT6        |
| muon_sorter_1/max_pt_4_rep_318[19]              |     57 | LUT6        |
| muon_sorter_1/N_1496_i_0                        |     56 | LUT6        |
| muon_sorter_1/max_pt_11[2]                      |     56 | LUT6        |
| muon_sorter_1/max_pt_11_rep_257[9]              |     56 | LUT6        |
| muon_sorter_1/max_pt_13[17]                     |     56 | LUT5        |
| muon_sorter_1/max_pt_13_rep_34[9]               |     56 | LUT6        |
| muon_sorter_1/max_pt_14[0]                      |     56 | LUT6        |
| muon_sorter_1/max_pt_1_19                       |     56 | LUT6        |
| muon_sorter_1/max_pt_3[11]                      |     56 | LUT5        |
| muon_sorter_1/max_pt_3[15]                      |     56 | LUT6        |
| muon_sorter_1/max_pt_3[3]                       |     56 | LUT6        |
| muon_sorter_1/max_pt_4[17]                      |     56 | LUT6        |
| muon_sorter_1/max_pt_5_rep_176[6]               |     56 | LUT6        |
| muon_sorter_1/max_pt_0[21]                      |     55 | LUT6        |
| muon_sorter_1/max_pt_10[28]                     |     55 | LUT4        |
| muon_sorter_1/max_pt_12[14]                     |     55 | LUT6        |
| muon_sorter_1/max_pt_1_18                       |     55 | LUT6        |
| muon_sorter_1/max_pt_2_0                        |     55 | LUT6        |
| muon_sorter_1/max_pt_3[31]                      |     55 | LUT4        |
| muon_sorter_1/max_pt_4_rep_252[4]               |     55 | LUT6        |
| muon_sorter_1/max_pt_5[1]                       |     55 | LUT6        |
| muon_sorter_1/max_pt_5_rep_219[12]              |     55 | LUT6        |
| muon_sorter_1/max_pt_6[13]                      |     55 | LUT6        |
| muon_sorter_1/max_pt_7[6]                       |     55 | LUT6        |
| muon_sorter_1/max_pt_7_reto[31]                 |     55 | FDRE        |
| muon_sorter_1/N_768_reto_0i                     |     54 | LUT6        |
| muon_sorter_1/max_pt_0[20]                      |     54 | LUT6        |
| muon_sorter_1/max_pt_0[29]                      |     54 | LUT6        |
| muon_sorter_1/max_pt_0_rep_96_0                 |     54 | LUT6        |
| muon_sorter_1/max_pt_13[10]                     |     54 | LUT6        |
| muon_sorter_1/max_pt_13_rep_69[14]              |     54 | LUT5        |
| muon_sorter_1/max_pt_3_rep_408_0                |     54 | LUT6        |
| muon_sorter_1/max_pt_5[17]                      |     54 | LUT6        |
| muon_sorter_1/max_pt_7[7]                       |     54 | LUT6        |
| muon_sorter_1/max_pt_8_rep_195[6]               |     54 | LUT6        |
| muon_sorter_1/N_3137_0                          |     53 | LUT6        |
| muon_sorter_1/max_pt_0_4[23]                    |     53 | LUT6        |
| muon_sorter_1/max_pt_0_rep_5[1]                 |     53 | LUT6        |
| muon_sorter_1/max_pt_10[14]                     |     53 | LUT6        |
| muon_sorter_1/max_pt_12[18]                     |     53 | LUT4        |
| muon_sorter_1/max_pt_13[24]                     |     53 | LUT4        |
| muon_sorter_1/max_pt_13_rep_35[23]              |     53 | LUT4        |
| muon_sorter_1/max_pt_1_3_4[5]                   |     53 | LUT6        |
| muon_sorter_1/max_pt_1_rep_150[11]              |     53 | LUT6        |
| muon_sorter_1/max_pt_2_rep_53[11]               |     53 | LUT6        |
| muon_sorter_1/max_pt_3_0                        |     53 | LUT6        |
| muon_sorter_1/max_pt_5_rep_99[29]               |     53 | LUT6        |
| muon_sorter_1/max_pt_8[1]                       |     53 | LUT6        |
| muon_sorter_1/max_pt_8_25_N_12                  |     53 | LUT4        |
| muon_sorter_1/max_pt_9[24]                      |     53 | LUT5        |
| muon_sorter_1/pt_compare_13_17_0_a2_0_i_o2_0[1] |     53 | LUT5        |
| muon_sorter_1/pt_compare_3_26_0_a2_1_a2_1[4]    |     53 | LUT6        |
| muon_sorter_1/max_pt_10[26]                     |     52 | LUT5        |
| muon_sorter_1/max_pt_12[15]                     |     52 | LUT5        |
| muon_sorter_1/max_pt_13[15]                     |     52 | LUT6        |
| muon_sorter_1/max_pt_13_rep_25[11]              |     52 | LUT6        |
| muon_sorter_1/max_pt_1[15]                      |     52 | LUT6        |
| muon_sorter_1/max_pt_1[7]                       |     52 | LUT6        |
| muon_sorter_1/max_pt_1_2_4[5]                   |     52 | LUT4        |
| muon_sorter_1/max_pt_4_rep_11[12]               |     52 | LUT6        |
| muon_sorter_1/max_pt_5[16]                      |     52 | LUT6        |
| muon_sorter_1/max_pt_8[24]                      |     52 | LUT6        |
| muon_sorter_1.max_pt_4_28[21]                   |     51 | LUT5        |
| muon_sorter_1/N_22787_reto                      |     51 | LUT6        |
| muon_sorter_1/max_pt_0[18]                      |     51 | LUT6        |
| muon_sorter_1/max_pt_0[25]                      |     51 | LUT6        |
| muon_sorter_1/max_pt_10[0]                      |     51 | LUT6        |
| muon_sorter_1/max_pt_10[27]                     |     51 | LUT6        |
