Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Sat Feb  9 01:21:54 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+----------------------------------------------------------+--------+-------------+
| Net Name                                                 | Fanout | Driver Type |
+----------------------------------------------------------+--------+-------------+
| muon_sorter_1/max_pt_11_rep_2[26]                        |     79 | LUT6        |
| muon_sorter_1/max_pt_1[18]                               |     73 | LUT6        |
| muon_cand_31.pt[3]                                       |     69 | FDRE        |
| muon_sorter_1/max_pt_12_rep_59_rep_108[16]               |     69 | LUT4        |
| muon_sorter_1/max_pt_11_rep_53[25]                       |     63 | LUT6        |
| muon_sorter_1/max_pt_1[28]                               |     63 | LUT6        |
| muon_sorter_1/max_pt_9[6]                                |     63 | LUT6        |
| muon_sorter_1/max_pt_10_rep_52_0                         |     62 | LUT6        |
| muon_sorter_1/max_pt_13_rep_90[3]                        |     62 | LUT6        |
| muon_sorter_1/max_pt_10[13]                              |     61 | LUT6        |
| muon_sorter_1/max_pt_12[24]                              |     61 | LUT5        |
| muon_sorter_1/max_pt_13_rep_70[17]                       |     61 | LUT4        |
| muon_sorter_1/max_pt_13_rep_89[12]                       |     61 | LUT6        |
| muon_sorter_1/max_pt_5_rep_288_rep_172[26]               |     60 | LUT6        |
| muon_sorter_1/max_pt_0[16]                               |     59 | LUT4        |
| muon_sorter_1/max_pt_0[3]                                |     59 | LUT6        |
| muon_sorter_1/max_pt_1[12]                               |     59 | LUT6        |
| muon_sorter_1/max_pt_3_rep_168[31]                       |     59 | LUT6        |
| muon_sorter_1/max_pt_4_rep_273[24]                       |     59 | LUT6        |
| muon_sorter_1/max_pt_6[30]                               |     59 | LUT6        |
| muon_sorter_1/max_pt_0[1]                                |     58 | LUT6        |
| muon_sorter_1/max_pt_0_rep_12[8]                         |     58 | LUT6        |
| muon_sorter_1/max_pt_10[11]                              |     58 | LUT6        |
| muon_sorter_1/max_pt_12_rep_92[5]                        |     58 | LUT5        |
| muon_sorter_1/max_pt_1[24]                               |     58 | LUT6        |
| muon_sorter_1/max_pt_3_rep_140[15]                       |     58 | LUT6        |
| muon_sorter_1/max_pt_6[16]                               |     58 | LUT6        |
| muon_sorter_1/max_pt_7_rep_194[30]                       |     58 | FDRE        |
| muon_sorter_1/max_pt_9[15]                               |     58 | LUT5        |
| muon_sorter_1/max_pt_13[25]                              |     57 | LUT6        |
| muon_sorter_1/max_pt_1[19]                               |     57 | LUT6        |
| muon_sorter_1/max_pt_1[5]                                |     57 | LUT6        |
| muon_sorter_1/max_pt_3_rep_214[2]                        |     57 | LUT6        |
| muon_sorter_1/max_pt_5[13]                               |     57 | LUT6        |
| muon_sorter_1/max_pt_6[24]                               |     57 | LUT6        |
| muon_sorter_1/max_pt_7_reto[12]                          |     57 | FDRE        |
| muon_sorter_1/max_pt_8_rep_307[2]                        |     57 | LUT6        |
| muon_sorter_1/max_pt_9[16]                               |     57 | LUT6        |
| muon_sorter_1/max_pt_10[3]                               |     56 | LUT6        |
| muon_sorter_1/max_pt_11[18]                              |     56 | LUT4        |
| muon_sorter_1/max_pt_11[8]                               |     56 | LUT6        |
| muon_sorter_1/max_pt_11_3_4[20]                          |     56 | LUT6        |
| muon_sorter_1/max_pt_11_rep_389[16]                      |     56 | LUT4        |
| muon_sorter_1/max_pt_12_rep_124_0[2]                     |     56 | LUT6        |
| muon_sorter_1/max_pt_13_rep_113[10]                      |     56 | LUT4        |
| muon_sorter_1/max_pt_1_4[4]                              |     56 | LUT4        |
| muon_sorter_1/max_pt_2[17]                               |     56 | LUT5        |
| muon_sorter_1/max_pt_4[28]                               |     56 | LUT6        |
| muon_sorter_1/max_pt_6[11]                               |     56 | LUT6        |
| muon_sorter_1/max_pt_6[26]                               |     56 | LUT6        |
| muon_sorter_1/max_pt_7[11]                               |     56 | FDRE        |
| muon_sorter_1/max_pt_7[5]                                |     56 | FDRE        |
| muon_sorter_1/max_pt_8[14]                               |     56 | LUT6        |
| muon_sorter_1/max_pt_0[5]                                |     55 | LUT6        |
| muon_sorter_1/max_pt_11_2_4[20]                          |     55 | LUT4        |
| muon_sorter_1/max_pt_11_rep_204_rep_141[3]               |     55 | LUT6        |
| muon_sorter_1/max_pt_12[28]                              |     55 | LUT6        |
| muon_sorter_1/max_pt_13[1]                               |     55 | LUT4        |
| muon_sorter_1/max_pt_13[8]                               |     55 | LUT6        |
| muon_sorter_1/max_pt_13_27                               |     55 | LUT6        |
| muon_sorter_1/max_pt_1_3_4[4]                            |     55 | LUT5        |
| muon_sorter_1/max_pt_5[4]                                |     55 | LUT6        |
| muon_sorter_1/max_pt_6[23]                               |     55 | LUT5        |
| muon_sorter_1/max_pt_6[6]                                |     55 | LUT6        |
| muon_sorter_1/max_pt_8_rep_301_0                         |     55 | LUT6        |
| muon_sorter_1/N_18189_reto                               |     54 | LUT6        |
| muon_sorter_1/max_pt_10[16]                              |     54 | LUT6        |
| muon_sorter_1/max_pt_10_rep_90[25]                       |     54 | LUT6        |
| muon_sorter_1/max_pt_12_rep_106_0                        |     54 | LUT6        |
| muon_sorter_1/max_pt_12_rep_48[9]                        |     54 | LUT6        |
| muon_sorter_1/max_pt_13_rep_64[28]                       |     54 | LUT6        |
| muon_sorter_1/max_pt_13_rep_88[26]                       |     54 | LUT6        |
| muon_sorter_1/max_pt_2[4]                                |     54 | LUT6        |
| muon_sorter_1/max_pt_3_rep_156[5]                        |     54 | LUT6        |
| muon_sorter_1/max_pt_4_rep_397[8]                        |     54 | LUT6        |
| muon_sorter_1/max_pt_5[8]                                |     54 | LUT6        |
| muon_sorter_1/max_pt_6[10]                               |     54 | LUT6        |
| muon_sorter_1/max_pt_0[0]                                |     53 | LUT6        |
| muon_sorter_1/max_pt_10_rep_112[21]                      |     53 | LUT6        |
| muon_sorter_1/max_pt_10_rep_99[30]                       |     53 | LUT6        |
| muon_sorter_1/max_pt_13_rep_199[4]                       |     53 | LUT4        |
| muon_sorter_1/max_pt_1_2_4[29]                           |     53 | LUT4        |
| muon_sorter_1/max_pt_1_4[29]                             |     53 | LUT6        |
| muon_sorter_1/max_pt_4[18]                               |     53 | LUT6        |
| muon_sorter_1/max_pt_6[29]                               |     53 | LUT6        |
| muon_sorter_1/max_pt_8_rep_450[13]                       |     53 | LUT6        |
| muon_sorter_1/max_pt_8_rep_490[3]                        |     53 | LUT6        |
| muon_sorter_1/pt_compare_4_31_0_a2_0_a2_1_a2_25_N_11_mux |     53 | LUT6        |
| muon_sorter_1/pt_compare_9_17_0_a2_0_0[0]                |     53 | LUT5        |
| muon_cand_17.pt[2]                                       |     52 | FDRE        |
| muon_cand_22.pt[3]                                       |     52 | FDRE        |
| muon_sorter_1/N_22462                                    |     52 | LUT6        |
| muon_sorter_1/max_pt_0[28]                               |     52 | LUT6        |
| muon_sorter_1/max_pt_10[19]                              |     52 | LUT6        |
| muon_sorter_1/max_pt_10[7]                               |     52 | LUT6        |
| muon_sorter_1/max_pt_13[15]                              |     52 | LUT6        |
| muon_sorter_1/max_pt_13_rep_253[14]                      |     52 | LUT6        |
| muon_sorter_1/max_pt_13_rep_280[13]                      |     52 | LUT6        |
| muon_sorter_1/max_pt_14[3]                               |     52 | LUT6        |
| muon_sorter_1/max_pt_14_rep_563[16]                      |     52 | LUT6        |
| muon_sorter_1/max_pt_1[16]                               |     52 | LUT6        |
| muon_sorter_1/max_pt_1[27]                               |     52 | LUT6        |
| muon_sorter_1/max_pt_1_1_4[29]                           |     52 | LUT6        |
| muon_sorter_1/max_pt_1_3_4[6]                            |     52 | LUT6        |
| muon_sorter_1/max_pt_3[27]                               |     52 | LUT6        |
| muon_sorter_1/max_pt_4[16]                               |     52 | LUT6        |
| muon_sorter_1/max_pt_4[30]                               |     52 | LUT6        |
| muon_sorter_1/max_pt_5_rep_79[16]                        |     52 | LUT6        |
| muon_sorter_1/max_pt_6[18]                               |     52 | LUT6        |
| muon_sorter_1/max_pt_6[5]                                |     52 | LUT6        |
| muon_sorter_1/max_pt_7[2]                                |     52 | FDRE        |
| muon_sorter_1/max_pt_8[1]                                |     52 | LUT6        |
| muon_sorter_1/max_pt_8[28]                               |     52 | LUT6        |
| muon_sorter_1/max_pt_9[7]                                |     52 | LUT5        |
| muon_sorter_1/max_pt_9_rep_130[0]                        |     52 | LUT4        |
| muon_sorter_1/max_pt_11_rep_242[30]                      |     51 | LUT4        |
| muon_sorter_1/max_pt_12[31]                              |     51 | LUT6        |
| muon_sorter_1/max_pt_1_2_4[6]                            |     51 | LUT6        |
| muon_sorter_1/max_pt_1_3_4[10]                           |     51 | LUT6        |
| muon_sorter_1/max_pt_2[5]                                |     51 | LUT6        |
| muon_sorter_1/max_pt_3_rep_225[26]                       |     51 | LUT6        |
| muon_sorter_1/max_pt_3_rep_499[17]                       |     51 | LUT6        |
| muon_sorter_1/max_pt_4[0]                                |     51 | LUT6        |
| muon_sorter_1/max_pt_4[17]                               |     51 | LUT6        |
| muon_sorter_1/max_pt_5[0]                                |     51 | LUT6        |
| muon_sorter_1/max_pt_6[12]                               |     51 | LUT6        |
| muon_sorter_1/max_pt_6[14]                               |     51 | LUT6        |
| muon_sorter_1/max_pt_6[15]                               |     51 | LUT6        |
| muon_sorter_1/max_pt_6[21]                               |     51 | LUT6        |
| muon_sorter_1/max_pt_6[3]                                |     51 | LUT6        |
| muon_sorter_1/max_pt_8_rep_172[4]                        |     51 | LUT6        |
| muon_sorter_1/max_pt_8_rep_215[5]                        |     51 | LUT6        |
| muon_sorter_1/max_pt_8_rep_453[17]                       |     51 | LUT5        |
| muon_sorter_1/max_pt_9[30]                               |     51 | LUT6        |
| muon_sorter_1/max_pt_0[13]                               |     50 | LUT6        |
| muon_sorter_1/max_pt_0[21]                               |     50 | LUT6        |
| muon_sorter_1/max_pt_12[1]                               |     50 | LUT4        |
| muon_sorter_1/max_pt_12_rep_52_rep_190[26]               |     50 | LUT6        |
| muon_sorter_1/max_pt_14[17]                              |     50 | LUT4        |
| muon_sorter_1/max_pt_14[26]                              |     50 | LUT6        |
| muon_sorter_1/max_pt_1_2_4[10]                           |     50 | LUT6        |
| muon_sorter_1/max_pt_3[11]                               |     50 | LUT6        |
| muon_sorter_1/max_pt_3_rep_157[19]                       |     50 | LUT6        |
| muon_sorter_1/max_pt_5[11]                               |     50 | LUT6        |
| muon_sorter_1/max_pt_5[18]                               |     50 | LUT6        |
| muon_sorter_1/max_pt_6[13]                               |     50 | LUT6        |
| muon_sorter_1/max_pt_6[4]                                |     50 | LUT5        |
| muon_sorter_1/max_pt_6[7]                                |     50 | LUT6        |
| muon_sorter_1/max_pt_6_0_d0                              |     50 | LUT5        |
| muon_sorter_1/max_pt_8[27]                               |     50 | LUT6        |
| muon_sorter_1/max_pt_9[14]                               |     50 | LUT6        |
| muon_sorter_1/max_pt_9[27]                               |     50 | LUT6        |
| muon_sorter_1/max_pt_9[8]                                |     50 | LUT4        |
| muon_cand_28.pt[3]                                       |     49 | FDRE        |
| muon_sorter_1/N_20566_reto                               |     49 | LUT6        |
| muon_sorter_1/max_pt_0[14]                               |     49 | LUT6        |
| muon_sorter_1/max_pt_0[18]                               |     49 | LUT5        |
| muon_sorter_1/max_pt_0[31]                               |     49 | LUT6        |
| muon_sorter_1/max_pt_10[22]                              |     49 | LUT6        |
| muon_sorter_1/max_pt_11[5]                               |     49 | LUT6        |
| muon_sorter_1/max_pt_13_rep_157_0                        |     49 | LUT6        |
| muon_sorter_1/max_pt_14[18]                              |     49 | LUT6        |
| muon_sorter_1/max_pt_14[19]                              |     49 | LUT5        |
| muon_sorter_1/max_pt_14[27]                              |     49 | LUT6        |
| muon_sorter_1/max_pt_14[4]                               |     49 | LUT6        |
| muon_sorter_1/max_pt_2[7]                                |     49 | LUT6        |
| muon_sorter_1/max_pt_2_rep_121[22]                       |     49 | LUT6        |
| muon_sorter_1/max_pt_2_rep_196[31]                       |     49 | LUT6        |
| muon_sorter_1/max_pt_3[0]                                |     49 | LUT6        |
| muon_sorter_1/max_pt_3[1]                                |     49 | LUT5        |
| muon_sorter_1/max_pt_3_rep_262[6]                        |     49 | LUT6        |
| muon_sorter_1/max_pt_6[20]                               |     49 | LUT5        |
| muon_sorter_1/max_pt_6[22]                               |     49 | LUT6        |
| muon_sorter_1/max_pt_6[9]                                |     49 | LUT6        |
| muon_sorter_1/max_pt_7[15]                               |     49 | FDRE        |
| muon_sorter_1/max_pt_7[29]                               |     49 | FDRE        |
| muon_sorter_1/max_pt_7[31]                               |     49 | FDRE        |
| muon_sorter_1/max_pt_0[22]                               |     48 | LUT6        |
| muon_sorter_1/max_pt_0[2]                                |     48 | LUT6        |
| muon_sorter_1/max_pt_0_4_2[12]                           |     48 | LUT6        |
| muon_sorter_1/max_pt_0_4_3[12]                           |     48 | LUT4        |
| muon_sorter_1/max_pt_10[28]                              |     48 | LUT4        |
| muon_sorter_1/max_pt_11_rep_111[19]                      |     48 | LUT6        |
| muon_sorter_1/max_pt_11_rep_82[28]                       |     48 | LUT4        |
| muon_sorter_1/max_pt_12[8]                               |     48 | LUT6        |
| muon_sorter_1/max_pt_14[10]                              |     48 | LUT6        |
| muon_sorter_1/max_pt_14[14]                              |     48 | LUT6        |
| muon_sorter_1/max_pt_14[9]                               |     48 | LUT5        |
| muon_sorter_1/max_pt_3[29]                               |     48 | LUT6        |
| muon_sorter_1/max_pt_7[3]                                |     48 | FDRE        |
| muon_sorter_1/max_pt_7_reto[26]                          |     48 | FDRE        |
| muon_sorter_1/max_pt_8_3_4[12]                           |     48 | LUT6        |
| muon_sorter_1/un68686_pt_compare                         |     48 | LUT5        |
| muon_sorter_1/N_18321_reto                               |     47 | LUT6        |
| muon_sorter_1/max_pt_10[0]                               |     47 | LUT6        |
| muon_sorter_1/max_pt_10_rep_375[17]                      |     47 | LUT6        |
| muon_sorter_1/max_pt_11_0                                |     47 | LUT6        |
| muon_sorter_1/max_pt_11_rep_61[21]                       |     47 | LUT6        |
| muon_sorter_1/max_pt_12[29]                              |     47 | LUT6        |
| muon_sorter_1/max_pt_12_0                                |     47 | LUT4        |
+----------------------------------------------------------+--------+-------------+


