Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Sun Feb 10 00:02:46 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+--------------------------------------------------------+--------+-------------+
| Net Name                                               | Fanout | Driver Type |
+--------------------------------------------------------+--------+-------------+
| muon_sorter_1/max_pt_12_rep_12[4]                      |     81 | LUT6        |
| muon_sorter_1/max_pt_12_rep_5[9]                       |     77 | LUT6        |
| muon_sorter_1/max_pt_13_rep_13[17]                     |     76 | LUT6        |
| muon_sorter_1/N_37_i                                   |     73 | LUT3        |
| muon_sorter_1/max_pt_12_rep_23[11]                     |     71 | LUT4        |
| muon_sorter_1/max_pt_12_rep_17[14]                     |     70 | LUT6        |
| muon_sorter_1/max_pt_12_rep_27[5]                      |     70 | LUT6        |
| muon_sorter_1/max_pt_7_reto[26]                        |     70 | FDRE        |
| muon_sorter_1/max_pt_12_rep_24[7]                      |     69 | LUT6        |
| muon_sorter_1/max_pt_12_rep_30[17]                     |     69 | LUT6        |
| muon_sorter_1/max_pt_8_rep_49[4]                       |     69 | LUT6        |
| muon_sorter_1/max_pt_13_rep_33[10]                     |     68 | LUT5        |
| muon_sorter_1/max_pt_13_rep_52[13]                     |     68 | LUT5        |
| muon_sorter_1/max_pt_4[30]                             |     67 | LUT6        |
| muon_sorter_1/sector_ret_16653                         |     67 | FDRE        |
| muon_sorter_1/max_pt_4[16]                             |     64 | LUT5        |
| muon_sorter_1/max_pt_6[30]                             |     64 | LUT4        |
| muon_sorter_1/max_pt_0[1]                              |     63 | LUT6        |
| muon_sorter_1/max_pt_0[26]                             |     63 | LUT6        |
| muon_sorter_1/max_pt_0_2                               |     63 | LUT6        |
| muon_sorter_1/max_pt_6[6]                              |     63 | LUT6        |
| muon_sorter_1/max_pt_11_rep_14[2]                      |     61 | LUT6        |
| muon_sorter_1/max_pt_12_rep_46[2]                      |     61 | LUT5        |
| muon_sorter_1/max_pt_13_rep_63[22]                     |     61 | LUT6        |
| muon_sorter_1/max_pt_4_0_d0                            |     61 | LUT6        |
| muon_sorter_1/max_pt_6[10]                             |     61 | LUT6        |
| muon_sorter_1/max_pt_10[3]                             |     60 | LUT6        |
| muon_sorter_1/max_pt_12_rep_159[3]                     |     60 | LUT6        |
| muon_sorter_1/max_pt_12_rep_53[8]                      |     60 | LUT6        |
| muon_sorter_1/max_pt_4_rep_222[12]                     |     60 | LUT6        |
| muon_sorter_1/max_pt_10[7]                             |     59 | LUT6        |
| muon_sorter_1/max_pt_13_rep_70[31]                     |     59 | LUT5        |
| muon_sorter_1/max_pt_3[10]                             |     59 | LUT6        |
| muon_sorter_1/max_pt_7_reto[14]                        |     59 | FDRE        |
| muon_sorter_1/max_pt_7_reto[18]                        |     59 | FDRE        |
| muon_sorter_1.max_pt_1[0]                              |     58 | LUT5        |
| muon_sorter_1/max_pt_0[9]                              |     58 | LUT6        |
| muon_sorter_1/max_pt_0_rep_43[21]                      |     58 | LUT6        |
| muon_sorter_1/max_pt_12_3_4[10]                        |     58 | LUT6        |
| muon_sorter_1/max_pt_13_rep_68[23]                     |     58 | LUT6        |
| muon_sorter_1/max_pt_2[19]                             |     58 | LUT6        |
