Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Sun Feb 10 02:54:06 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+------------------------------------------------+--------+-------------+
| Net Name                                       | Fanout | Driver Type |
+------------------------------------------------+--------+-------------+
| muon_sorter_1/max_pt_13_rep_42[0]              |     70 | LUT5        |
| muon_sorter_1/max_pt_13_rep_11_0               |     68 | LUT6        |
| muon_sorter_1/max_pt_13_rep_49_0               |     68 | LUT6        |
| muon_sorter_1/max_pt_12[25]                    |     65 | LUT6        |
| muon_sorter_1/max_pt_12_rep_25[12]             |     64 | LUT6        |
| muon_sorter_1/max_pt_10_rep_90[6]              |     63 | LUT6        |
| muon_sorter_1.max_pt_12_3_4[10]                |     61 | LUT6        |
| muon_sorter_1/max_pt_12_rep_45[28]             |     61 | LUT4        |
| muon_sorter_1/max_pt_2_rep_63[18]              |     61 | LUT4        |
| muon_sorter_1/max_pt_8[7]                      |     61 | LUT5        |
| muon_sorter_1/max_pt_9[25]                     |     61 | LUT6        |
| muon_sorter_1/max_pt_9[31]                     |     61 | LUT6        |
| muon_sorter_1/N_18503_reto                     |     60 | LUT6        |
| muon_sorter_1/max_pt_10[30]                    |     60 | LUT6        |
| muon_sorter_1/max_pt_12[19]                    |     60 | LUT6        |
| muon_sorter_1/max_pt_13_rep_129_0              |     60 | LUT6        |
| muon_sorter_1/max_pt_13_rep_237_0              |     60 | LUT4        |
| muon_sorter_1/max_pt_1[24]                     |     60 | LUT6        |
| muon_sorter_1/max_pt_6[6]                      |     60 | LUT6        |
| muon_sorter_1/max_pt_9[28]                     |     60 | LUT6        |
| muon_sorter_1/N_1244_reto                      |     59 | LUT6        |
| muon_sorter_1/max_pt_0_4[25]                   |     59 | LUT6        |
| muon_sorter_1/max_pt_0_rep_202[10]             |     59 | LUT6        |
| muon_sorter_1/max_pt_2[5]                      |     59 | LUT5        |
| muon_sorter_1/max_pt_3_4                       |     59 | LUT6        |
| muon_sorter_1/max_pt_6[3]                      |     59 | LUT6        |
| muon_sorter_1/max_pt_7_reto[3]                 |     59 | FDRE        |
| muon_sorter_1/max_pt_0[23]                     |     58 | LUT6        |
| muon_sorter_1/max_pt_12[31]                    |     58 | LUT5        |
| muon_sorter_1/max_pt_12[3]                     |     58 | LUT4        |
| muon_sorter_1/max_pt_13[21]                    |     58 | LUT6        |
| muon_sorter_1/max_pt_6[25]                     |     58 | LUT6        |
| muon_sorter_1/max_pt_6[29]                     |     58 | LUT5        |
| muon_sorter_1/max_pt_7_reto[17]                |     58 | FDRE        |
| muon_sorter_1/sector_ret_18569                 |     58 | FDRE        |
| muon_sorter_1/max_pt_0[24]                     |     57 | LUT5        |
| muon_sorter_1/max_pt_0[9]                      |     57 | LUT6        |
| muon_sorter_1/max_pt_11[15]                    |     57 | LUT6        |
| muon_sorter_1/max_pt_13[31]                    |     57 | LUT6        |
| muon_sorter_1/max_pt_1[27]                     |     57 | LUT6        |
| muon_sorter_1/max_pt_1[8]                      |     57 | LUT6        |
| muon_sorter_1/max_pt_2[28]                     |     57 | LUT6        |
| muon_sorter_1/max_pt_2_28[24]                  |     57 | LUT4        |
| muon_sorter_1/max_pt_2_rep_14[21]              |     57 | LUT6        |
| muon_sorter_1/N_17484                          |     56 | LUT5        |
| muon_sorter_1/N_22796_reto                     |     56 | LUT6        |
