Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Thu Mar 21 13:58:09 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_utilization -hierarchical -file hier_utilization.txt
| Design       : wrapper
| Device       : xcvu9pflgc2104-1
| Design State : Routed
------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+----------------------------------------------+------------------------------------------------------------------------------------+------------+------------+---------+------+-----+--------+--------+------+--------------+
|                   Instance                   |                                       Module                                       | Total LUTs | Logic LUTs | LUTRAMs | SRLs | FFs | RAMB36 | RAMB18 | URAM | DSP48 Blocks |
+----------------------------------------------+------------------------------------------------------------------------------------+------------+------------+---------+------+-----+--------+--------+------+--------------+
| wrapper                                      |                                                                              (top) |       3884 |       3884 |       0 |    0 | 976 |      0 |      0 |    0 |            0 |
|   (wrapper)                                  |                                                                              (top) |          0 |          0 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|   dut_inst                                   | muon_sorter_I032_O032_D000_BITONIC_SEL_TOPVHDL_PT4BIT-freq280x400retfan10000_rev_1 |       3767 |       3767 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|     bitonic_inst                             |                                                                   retiming_bitonic |       3767 |       3767 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|       sorter_inst                            |                                                            bitonic_sort_32s_1s_16s |       3767 |       3767 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|         genblk1.bitonic_merge_i              |                                                           bitonic_merge_32s_1s_16s |       1438 |       1438 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|           genblk1.bitonic_merge_high         |                                                          bitonic_merge_16s_1s_8s_1 |        571 |        571 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|             genblk1.bitonic_merge_high       |                                                           bitonic_merge_8s_1s_4s_6 |        213 |        213 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|               genblk1.bitonic_merge_high     |                                                          bitonic_merge_4s_1s_2s_14 |         74 |         74 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|                 genblk1.bitonic_merge_high   |                                                          bitonic_merge_2s_1s_1s_38 |         19 |         19 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|                   genblk1.cmp_g[0].compare_i |                                                                     compare_1s_146 |         19 |         19 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|                 genblk1.bitonic_merge_low    |                                                          bitonic_merge_2s_1s_1s_37 |         23 |         23 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|                   genblk1.cmp_g[0].compare_i |                                                                     compare_1s_145 |         23 |         23 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
