Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Mon Mar 18 17:09:06 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------+-------------+
| Net Name                                                                                                                                                                                                  | Fanout | Driver Type |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------+-------------+
| dut_inst/un1_compare_i_1_0[9]                                                                                                                                                                             |     56 | LUT6        |
| dut_inst/un1_b_15                                                                                                                                                                                         |     53 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.cmp_g[7].compare_i/un1_compare_i_39_0                                                                                                                |     49 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_sort_high/genblk1.bitonic_merge_i/genblk1.cmp_g[3].compare_i/un1_compare_i_25_0                                                                                      |     49 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.cmp_g[15].compare_i/un1_compare_i_38_0                                                                                                               |     48 | LUT6        |
| dut_inst/ALTB_N_4_2                                                                                                                                                                                       |     46 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_sort_low/genblk1.bitonic_sort_low/genblk1.bitonic_merge_i/genblk1.bitonic_merge_low/genblk1.cmp_g[1].compare_i/un1_compare_i_1_1_0                                   |     46 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_sort_high/genblk1.bitonic_merge_i/genblk1.cmp_g[7].compare_i/pt_a0_5_0                                                                                               |     42 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_sort_low/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.cmp_g[1].compare_i/un1_compare_i_34_0                                                            |     42 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_sort_low/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.cmp_g[3].compare_i/un1_compare_i_33_0                                                            |     42 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_sort_low/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.bitonic_merge_low/genblk1.bitonic_merge_low/genblk1.cmp_g[0].compare_i/un1_bitonic_sort_low_i_0  |     40 | LUT6        |
| dut_inst/idx2_8                                                                                                                                                                                           |     39 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_sort_high/genblk1.bitonic_merge_i/genblk1.cmp_g[2].compare_i/un1_compare_i_17_0                                                                                      |     39 | LUT4        |
| dut_inst/sorter_inst/genblk1.bitonic_sort_low/genblk1.bitonic_merge_i/genblk1.cmp_g[4].compare_i/pt_N_7_mux                                                                                               |     39 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_sort_high/genblk1.bitonic_merge_i/genblk1.bitonic_merge_low/genblk1.cmp_g[0].compare_i/un1_compare_i_16_0                                                            |     38 | LUT5        |
| dut_inst/sorter_inst/genblk1.bitonic_sort_high/genblk1.bitonic_merge_i/genblk1.cmp_g[7].compare_i/un1_bitonic_sort_high_0                                                                                 |     38 | LUT4        |
| dut_inst/idx2_4                                                                                                                                                                                           |     37 | LUT6        |
| dut_inst/un1_b_16                                                                                                                                                                                         |     36 | LUT5        |
| dut_inst/ALTB_0[0]                                                                                                                                                                                        |     35 | LUT6        |
| dut_inst/idx2_66                                                                                                                                                                                          |     35 | LUT5        |
| dut_inst/sorter_inst/genblk1.bitonic_sort_high/genblk1.bitonic_sort_low/genblk1.bitonic_sort_low/genblk1.bitonic_merge_i/genblk1.bitonic_merge_low/genblk1.cmp_g[0].compare_i/un1_bitonic_sort_low_10     |     35 | LUT4        |
| dut_inst/ALTB_N_4                                                                                                                                                                                         |     34 | LUT4        |
| dut_inst/idx2_3                                                                                                                                                                                           |     34 | LUT6        |
| dut_inst/idx2_63                                                                                                                                                                                          |     34 | LUT6        |
| dut_inst/un1_b_13                                                                                                                                                                                         |     34 | LUT6        |
| dut_inst/un1_b_17                                                                                                                                                                                         |     34 | LUT6        |
| dut_inst/un1_b_21                                                                                                                                                                                         |     34 | LUT5        |
| dut_inst/idx2_98                                                                                                                                                                                          |     33 | LUT5        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.cmp_g[7].compare_i/un1_compare_i_1_54_0                                                                                   |     33 | LUT5        |
| dut_inst/sorter_inst/genblk1.bitonic_sort_high/genblk1.bitonic_merge_i/genblk1.cmp_g[1].compare_i/un1_compare_i_1_5_0                                                                                     |     33 | LUT5        |
| dut_inst/sorter_inst/genblk1.bitonic_sort_high/genblk1.bitonic_sort_low/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.bitonic_merge_low/genblk1.cmp_g[0].compare_i/un1_b_5                   |     33 | LUT5        |
| dut_inst/sorter_inst/genblk1.bitonic_sort_low/genblk1.bitonic_merge_i/genblk1.cmp_g[0].compare_i/un1_compare_i_1_24_0                                                                                     |     33 | LUT3        |
| dut_inst/un1_b_8                                                                                                                                                                                          |     33 | LUT5        |
| dut_inst/idx2_132                                                                                                                                                                                         |     32 | LUT4        |
| dut_inst/idx2_17                                                                                                                                                                                          |     32 | LUT6        |
| dut_inst/idx2_49                                                                                                                                                                                          |     32 | LUT5        |
| dut_inst/sorter_inst/genblk1.bitonic_sort_high/genblk1.bitonic_sort_low/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.cmp_g[1].compare_i/pt_a0_0_3_0                                         |     32 | LUT6        |
| dut_inst/un1_b_12                                                                                                                                                                                         |     32 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_sort_low/genblk1.bitonic_sort_low/genblk1.bitonic_merge_i/genblk1.cmp_g[3].compare_i/un1_compare_i_1_0                                                               |     31 | LUT6        |
| dut_inst/ALTB_N_5_mux                                                                                                                                                                                     |     30 | LUT5        |
| dut_inst/ALTBtt_N_5_mux                                                                                                                                                                                   |     30 | LUT5        |
| dut_inst/idx2                                                                                                                                                                                             |     30 | LUT5        |
| dut_inst/idx2_109                                                                                                                                                                                         |     30 | LUT6        |
| dut_inst/idx2_126                                                                                                                                                                                         |     30 | LUT6        |
| dut_inst/idx2_14                                                                                                                                                                                          |     30 | LUT6        |
| dut_inst/idx2_57                                                                                                                                                                                          |     30 | LUT6        |
| dut_inst/idx2_85                                                                                                                                                                                          |     30 | LUT4        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_low/genblk1.cmp_g[3].compare_i/un1_compare_i_i_2_0                                                                                     |     30 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_low/genblk1.cmp_g[6].compare_i/un1_compare_i_54_0                                                                                      |     30 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_sort_high/genblk1.bitonic_merge_i/genblk1.bitonic_merge_low/genblk1.bitonic_merge_low/genblk1.cmp_g[0].compare_i/un1_compare_i_1_11_0                                |     30 | LUT6        |
| dut_inst/un1_b_61                                                                                                                                                                                         |     30 | LUT4        |
| dut_inst/un1_b_66                                                                                                                                                                                         |     30 | LUT5        |
| dut_inst/idx2_105                                                                                                                                                                                         |     29 | LUT6        |
| dut_inst/idx2_121                                                                                                                                                                                         |     29 | LUT6        |
| dut_inst/idx2_2                                                                                                                                                                                           |     29 | LUT6        |
| dut_inst/idx2_29                                                                                                                                                                                          |     29 | LUT6        |
| dut_inst/idx2_6                                                                                                                                                                                           |     29 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_sort_high/genblk1.bitonic_merge_i/genblk1.bitonic_merge_low/genblk1.bitonic_merge_low/genblk1.cmp_g[1].compare_i/un1_compare_i_1_16_0                                |     29 | LUT6        |
| dut_inst/un1_b_23                                                                                                                                                                                         |     29 | LUT6        |
| dut_inst/idx2_15                                                                                                                                                                                          |     28 | LUT4        |
| dut_inst/idx2_79                                                                                                                                                                                          |     28 | LUT4        |
| dut_inst/sorter_inst/genblk1.bitonic_sort_high/genblk1.bitonic_sort_high/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.cmp_g[0].compare_i/un1_compare_i_15_0                                 |     28 | LUT4        |
| dut_inst/un1_b_4                                                                                                                                                                                          |     28 | LUT6        |
| dut_inst/un1_b_6                                                                                                                                                                                          |     28 | LUT5        |
| dut_inst/un1_b_64                                                                                                                                                                                         |     28 | LUT4        |
| dut_inst/idx2_100                                                                                                                                                                                         |     27 | LUT5        |
