Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Mon Mar 18 17:30:46 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_utilization -hierarchical -file hier_utilization.txt
| Design       : wrapper
| Device       : xcvu9pflgc2104-1
| Design State : Routed
------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+----------------------------------------------+--------------------------------------------------------------------------------+------------+------------+---------+------+------+--------+--------+------+--------------+
|                   Instance                   |                                     Module                                     | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs | RAMB36 | RAMB18 | URAM | DSP48 Blocks |
+----------------------------------------------+--------------------------------------------------------------------------------+------------+------------+---------+------+------+--------+--------+------+--------------+
| wrapper                                      |                                                                          (top) |      10813 |      10813 |       0 |    0 | 2923 |      0 |      0 |    0 |            0 |
|   (wrapper)                                  |                                                                          (top) |          0 |          0 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|   dut_inst                                   | muon_sorter_I064_O064_D000_BITONIC_TOPVHDL_PT1BIT-freq280x400retfan10000_rev_1 |      10598 |      10598 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|     (dut_inst)                               | muon_sorter_I064_O064_D000_BITONIC_TOPVHDL_PT1BIT-freq280x400retfan10000_rev_1 |        715 |        715 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|     sorter_inst                              |                                                        bitonic_sort_64s_1s_32s |       9884 |       9884 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|       genblk1.bitonic_merge_i                |                                                       bitonic_merge_64s_1s_32s |       2919 |       2919 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|         genblk1.bitonic_merge_high           |                                                     bitonic_merge_32s_1s_16s_1 |       1208 |       1208 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|           genblk1.bitonic_merge_high         |                                                      bitonic_merge_16s_1s_8s_6 |        487 |        487 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|             genblk1.bitonic_merge_high       |                                                      bitonic_merge_8s_1s_4s_18 |        192 |        192 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|               genblk1.bitonic_merge_high     |                                                      bitonic_merge_4s_1s_2s_46 |         59 |         59 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|                 genblk1.bitonic_merge_high   |                                                     bitonic_merge_2s_1s_1s_110 |         20 |         20 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|                   genblk1.cmp_g[0].compare_i |                                                                 compare_1s_430 |         20 |         20 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|                 genblk1.bitonic_merge_low    |                                                     bitonic_merge_2s_1s_1s_109 |         20 |         20 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|                   genblk1.cmp_g[0].compare_i |                                                                 compare_1s_429 |         20 |         20 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|                 genblk1.cmp_g[0].compare_i   |                                                                 compare_1s_428 |         10 |         10 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|                 genblk1.cmp_g[1].compare_i   |                                                                 compare_1s_427 |          9 |          9 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
