Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Wed Mar 20 23:47:57 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_utilization -hierarchical -file hier_utilization.txt
| Design       : wrapper
| Device       : xcvu9pflgc2104-1
| Design State : Routed
------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+--------------------------------------------------+------------------------------------------------------------------------------------+------------+------------+---------+------+------+--------+--------+------+--------------+
|                     Instance                     |                                       Module                                       | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs | RAMB36 | RAMB18 | URAM | DSP48 Blocks |
+--------------------------------------------------+------------------------------------------------------------------------------------+------------+------------+---------+------+------+--------+--------+------+--------------+
| wrapper                                          |                                                                              (top) |      16216 |      16216 |       0 |    0 | 2801 |      0 |      0 |    0 |            0 |
|   (wrapper)                                      |                                                                              (top) |          0 |          0 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|   dut_inst                                       | muon_sorter_I128_O128_D000_BITONIC_SEL_TOPVHDL_PT1BIT-freq280x400retfan10000_rev_1 |      15788 |      15788 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|     (dut_inst)                                   | muon_sorter_I128_O128_D000_BITONIC_SEL_TOPVHDL_PT1BIT-freq280x400retfan10000_rev_1 |       1584 |       1584 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|     bitonic_inst                                 |                                                                   retiming_bitonic |      14204 |      14204 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|       sorter_inst                                |                                                           bitonic_sort_128s_1s_64s |      14204 |      14204 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|         genblk1.bitonic_merge_i                  |                                                          bitonic_merge_128s_1s_64s |       5248 |       5248 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|           genblk1.bitonic_merge_high             |                                                         bitonic_merge_64s_1s_32s_1 |       2309 |       2309 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|             genblk1.bitonic_merge_high           |                                                         bitonic_merge_32s_1s_16s_6 |        952 |        952 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|               genblk1.bitonic_merge_high         |                                                         bitonic_merge_16s_1s_8s_18 |        394 |        394 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|                 genblk1.bitonic_merge_high       |                                                          bitonic_merge_8s_1s_4s_46 |        157 |        157 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|                   genblk1.bitonic_merge_high     |                                                          bitonic_merge_4s_1s_2s_94 |         56 |         56 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|                     genblk1.bitonic_merge_high   |                                                         bitonic_merge_2s_1s_1s_222 |         16 |         16 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|                       genblk1.cmp_g[0].compare_i |                                                                    compare_1s_1070 |         16 |         16 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|                     genblk1.bitonic_merge_low    |                                                         bitonic_merge_2s_1s_1s_221 |         20 |         20 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|                       genblk1.cmp_g[0].compare_i |                                                                    compare_1s_1069 |         20 |         20 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|                     genblk1.cmp_g[0].compare_i   |                                                                    compare_1s_1068 |         10 |         10 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
