Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Thu Mar 21 15:10:22 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_utilization -hierarchical -file hier_utilization.txt
| Design       : wrapper
| Device       : xcvu9pflgc2104-1
| Design State : Routed
------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+--------------------------------------------------+------------------------------------------------------------------------------------+------------+------------+---------+------+------+--------+--------+------+--------------+
|                     Instance                     |                                       Module                                       | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs | RAMB36 | RAMB18 | URAM | DSP48 Blocks |
+--------------------------------------------------+------------------------------------------------------------------------------------+------------+------------+---------+------+------+--------+--------+------+--------------+
| wrapper                                          |                                                                              (top) |      31141 |      31141 |       0 |    0 | 4436 |      0 |      0 |    0 |            0 |
|   (wrapper)                                      |                                                                              (top) |          0 |          0 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|   dut_inst                                       | muon_sorter_I128_O128_D000_BITONIC_SEL_TOPVHDL_PT4BIT-freq280x400retfan10000_rev_1 |      30584 |      30584 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|     bitonic_inst                                 |                                                                   retiming_bitonic |      30584 |      30584 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|       sorter_inst                                |                                                           bitonic_sort_128s_1s_64s |      30584 |      30584 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|         genblk1.bitonic_merge_i                  |                                                          bitonic_merge_128s_1s_64s |       9093 |       9093 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|           genblk1.bitonic_merge_high             |                                                         bitonic_merge_64s_1s_32s_1 |       3962 |       3962 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|             genblk1.bitonic_merge_high           |                                                         bitonic_merge_32s_1s_16s_6 |       1678 |       1678 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|               genblk1.bitonic_merge_high         |                                                         bitonic_merge_16s_1s_8s_18 |        667 |        667 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|                 genblk1.bitonic_merge_high       |                                                          bitonic_merge_8s_1s_4s_46 |        263 |        263 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|                   genblk1.bitonic_merge_high     |                                                          bitonic_merge_4s_1s_2s_94 |         94 |         94 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|                     genblk1.bitonic_merge_high   |                                                         bitonic_merge_2s_1s_1s_222 |         24 |         24 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|                       genblk1.cmp_g[0].compare_i |                                                                    compare_1s_1070 |         24 |         24 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|                     genblk1.bitonic_merge_low    |                                                         bitonic_merge_2s_1s_1s_221 |         24 |         24 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|                       genblk1.cmp_g[0].compare_i |                                                                    compare_1s_1069 |         24 |         24 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|                     genblk1.cmp_g[0].compare_i   |                                                                    compare_1s_1068 |         24 |         24 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|                     genblk1.cmp_g[1].compare_i   |                                                                    compare_1s_1067 |         22 |         22 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|                   genblk1.bitonic_merge_low      |                                                          bitonic_merge_4s_1s_2s_93 |         94 |         94 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|                     genblk1.bitonic_merge_high   |                                                         bitonic_merge_2s_1s_1s_220 |         24 |         24 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|                       genblk1.cmp_g[0].compare_i |                                                                    compare_1s_1066 |         24 |         24 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|                     genblk1.bitonic_merge_low    |                                                         bitonic_merge_2s_1s_1s_219 |         24 |         24 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|                       genblk1.cmp_g[0].compare_i |                                                                    compare_1s_1065 |         24 |         24 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|                     genblk1.cmp_g[0].compare_i   |                                                                    compare_1s_1064 |         24 |         24 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|                     genblk1.cmp_g[1].compare_i   |                                                                    compare_1s_1063 |         22 |         22 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|                   genblk1.cmp_g[0].compare_i     |                                                                    compare_1s_1061 |         18 |         18 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|                   genblk1.cmp_g[1].compare_i     |                                                                    compare_1s_1062 |         16 |         16 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|                   genblk1.cmp_g[2].compare_i     |                                                                    compare_1s_1059 |         18 |         18 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|                   genblk1.cmp_g[3].compare_i     |                                                                    compare_1s_1060 |         23 |         23 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|                 genblk1.bitonic_merge_low        |                                                          bitonic_merge_8s_1s_4s_45 |        250 |        250 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
