Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Tue Mar 19 12:20:03 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_utilization -hierarchical -file hier_utilization.txt
| Design       : wrapper
| Device       : xcvu9pflgc2104-1
| Design State : Routed
------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+------------------------------------------------+--------------------------------------------------------------------------------+------------+------------+---------+------+------+--------+--------+------+--------------+
|                    Instance                    |                                     Module                                     | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs | RAMB36 | RAMB18 | URAM | DSP48 Blocks |
+------------------------------------------------+--------------------------------------------------------------------------------+------------+------------+---------+------+------+--------+--------+------+--------------+
| wrapper                                        |                                                                          (top) |      28091 |      28091 |       0 |    0 | 5715 |      0 |      0 |    0 |            0 |
|   (wrapper)                                    |                                                                          (top) |          0 |          0 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|   dut_inst                                     | muon_sorter_I128_O128_D000_BITONIC_TOPVHDL_PT1BIT-freq280x400retfan10000_rev_1 |      27663 |      27663 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|     (dut_inst)                                 | muon_sorter_I128_O128_D000_BITONIC_TOPVHDL_PT1BIT-freq280x400retfan10000_rev_1 |       1753 |       1753 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|     sorter_inst                                |                                                       bitonic_sort_128s_1s_64s |      25916 |      25916 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|       genblk1.bitonic_merge_i                  |                                                      bitonic_merge_128s_1s_64s |       6664 |       6664 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|         genblk1.bitonic_merge_high             |                                                     bitonic_merge_64s_1s_32s_1 |       2859 |       2859 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|           genblk1.bitonic_merge_high           |                                                     bitonic_merge_32s_1s_16s_6 |       1205 |       1205 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|             genblk1.bitonic_merge_high         |                                                     bitonic_merge_16s_1s_8s_18 |        481 |        481 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|               genblk1.bitonic_merge_high       |                                                      bitonic_merge_8s_1s_4s_46 |        185 |        185 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|                 genblk1.bitonic_merge_high     |                                                     bitonic_merge_4s_1s_2s_110 |         62 |         62 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|                   genblk1.bitonic_merge_high   |                                                     bitonic_merge_2s_1s_1s_254 |         20 |         20 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
