Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Wed Mar 13 11:18:57 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_utilization -hierarchical -file hier_utilization.txt
| Design       : wrapper
| Device       : xcvu9pflgc2104-1
| Design State : Routed
------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+--------------------------------------------------+------------------------------------+------------+------------+---------+------+-------+--------+--------+------+--------------+
|                     Instance                     |               Module               | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | URAM | DSP48 Blocks |
+--------------------------------------------------+------------------------------------+------------+------------+---------+------+-------+--------+--------+------+--------------+
| wrapper                                          |                              (top) |     109535 |     109535 |       0 |    0 | 14674 |      0 |      0 |    0 |            0 |
|   (wrapper)                                      |                              (top) |          1 |          1 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|   dut_inst                                       |                   retiming_bitonic |     108343 |     108343 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|     sorter_inst                                  |          bitonic_sort_256s_1s_128s |     108343 |     108343 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|       genblk1.bitonic_merge_i                    |         bitonic_merge_256s_1s_128s |      24491 |      24491 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|         genblk1.bitonic_merge_high               |        bitonic_merge_128s_1s_64s_1 |      10755 |      10755 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|           genblk1.bitonic_merge_high             |      bitonic_merge_64s_1s_32s_13_6 |       4453 |       4453 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|             genblk1.bitonic_merge_high           |        bitonic_merge_32s_1s_16s_18 |       1836 |       1836 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|               genblk1.bitonic_merge_high         |   bitonic_merge_16s_1s_8s_12_35_46 |        725 |        725 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                 genblk1.bitonic_merge_high       |         bitonic_merge_8s_1s_4s_110 |        276 |        276 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                   genblk1.bitonic_merge_high     | bitonic_merge_4s_1s_2s_7_52_35_254 |         92 |         92 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                     genblk1.bitonic_merge_high   |         bitonic_merge_2s_1s_1s_574 |         28 |         28 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                       genblk1.cmp_g[0].compare_i |                    compare_1s_2814 |         28 |         28 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                     genblk1.bitonic_merge_low    |         bitonic_merge_2s_1s_1s_573 |         28 |         28 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                       genblk1.cmp_g[0].compare_i |                    compare_1s_2813 |         28 |         28 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                     genblk1.cmp_g[0].compare_i   |                    compare_1s_2812 |         10 |         10 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                     genblk1.cmp_g[1].compare_i   |                    compare_1s_2811 |         26 |         26 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                   genblk1.bitonic_merge_low      | bitonic_merge_4s_1s_2s_7_52_35_253 |         94 |         94 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                     genblk1.bitonic_merge_high   |         bitonic_merge_2s_1s_1s_572 |         28 |         28 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                       genblk1.cmp_g[0].compare_i |                    compare_1s_2810 |         28 |         28 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                     genblk1.bitonic_merge_low    |         bitonic_merge_2s_1s_1s_571 |         28 |         28 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                       genblk1.cmp_g[0].compare_i |                    compare_1s_2809 |         28 |         28 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                     genblk1.cmp_g[0].compare_i   |                    compare_1s_2808 |         12 |         12 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                     genblk1.cmp_g[1].compare_i   |                    compare_1s_2807 |         26 |         26 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                   genblk1.cmp_g[0].compare_i     |                    compare_1s_2805 |         28 |         28 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                   genblk1.cmp_g[1].compare_i     |                    compare_1s_2806 |         10 |         10 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                   genblk1.cmp_g[2].compare_i     |                    compare_1s_2803 |         24 |         24 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                   genblk1.cmp_g[3].compare_i     |                    compare_1s_2804 |         28 |         28 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
