Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Wed Mar 13 20:42:10 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_utilization -hierarchical -file hier_utilization.txt
| Design       : wrapper
| Device       : xcvu9pflgc2104-1
| Design State : Routed
------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+--------------------------------------------------+-------------------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------+--------------+
|                     Instance                     |                                  Module                                 | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | URAM | DSP48 Blocks |
+--------------------------------------------------+-------------------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------+--------------+
| wrapper                                          |                                                                   (top) |     112307 |     112307 |       0 |    0 | 14720 |      0 |      0 |    0 |            0 |
|   (wrapper)                                      |                                                                   (top) |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|   dut_inst                                       | muon_sorter_I256_O256_D000_BITONIC_TOPVHDL-freq280x400retfan10000_rev_1 |     111197 |     111197 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|     (dut_inst)                                   | muon_sorter_I256_O256_D000_BITONIC_TOPVHDL-freq280x400retfan10000_rev_1 |          3 |          3 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|     sorter_inst                                  |                                               bitonic_sort_256s_1s_128s |     111194 |     111194 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|       genblk1.bitonic_merge_i                    |                                              bitonic_merge_256s_1s_128s |      24717 |      24717 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|         genblk1.bitonic_merge_high               |                                             bitonic_merge_128s_1s_64s_1 |      10808 |      10808 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|           genblk1.bitonic_merge_high             |                                              bitonic_merge_64s_1s_32s_6 |       4573 |       4573 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|             genblk1.bitonic_merge_high           |                                             bitonic_merge_32s_1s_16s_18 |       1852 |       1852 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|               genblk1.bitonic_merge_high         |                                              bitonic_merge_16s_1s_8s_46 |        748 |        748 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                 genblk1.bitonic_merge_high       |                                              bitonic_merge_8s_1s_4s_110 |        283 |        283 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                   genblk1.bitonic_merge_high     |                                              bitonic_merge_4s_1s_2s_254 |         98 |         98 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                     genblk1.bitonic_merge_high   |                                              bitonic_merge_2s_1s_1s_574 |         28 |         28 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                       genblk1.cmp_g[0].compare_i |                                                         compare_1s_2814 |         28 |         28 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                     genblk1.bitonic_merge_low    |                                              bitonic_merge_2s_1s_1s_573 |         28 |         28 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                       genblk1.cmp_g[0].compare_i |                                                         compare_1s_2813 |         28 |         28 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                     genblk1.cmp_g[0].compare_i   |                                                         compare_1s_2812 |         22 |         22 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                     genblk1.cmp_g[1].compare_i   |                                                         compare_1s_2811 |         20 |         20 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                   genblk1.bitonic_merge_low      |                                              bitonic_merge_4s_1s_2s_253 |         96 |         96 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                     genblk1.bitonic_merge_high   |                                              bitonic_merge_2s_1s_1s_572 |         28 |         28 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                       genblk1.cmp_g[0].compare_i |                                                         compare_1s_2810 |         28 |         28 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                     genblk1.bitonic_merge_low    |                                              bitonic_merge_2s_1s_1s_571 |         28 |         28 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                       genblk1.cmp_g[0].compare_i |                                                         compare_1s_2809 |         28 |         28 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                     genblk1.cmp_g[0].compare_i   |                                                         compare_1s_2808 |         18 |         18 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                     genblk1.cmp_g[1].compare_i   |                                                         compare_1s_2807 |         22 |         22 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                   genblk1.cmp_g[0].compare_i     |                                                         compare_1s_2805 |         25 |         25 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                   genblk1.cmp_g[1].compare_i     |                                                         compare_1s_2806 |         22 |         22 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                   genblk1.cmp_g[2].compare_i     |                                                         compare_1s_2803 |         21 |         21 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                   genblk1.cmp_g[3].compare_i     |                                                         compare_1s_2804 |         21 |         21 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                 genblk1.bitonic_merge_low        |                                              bitonic_merge_8s_1s_4s_109 |        283 |        283 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                   genblk1.bitonic_merge_high     |                                              bitonic_merge_4s_1s_2s_252 |         98 |         98 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                     genblk1.bitonic_merge_high   |                                              bitonic_merge_2s_1s_1s_570 |         28 |         28 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                       genblk1.cmp_g[0].compare_i |                                                         compare_1s_2802 |         28 |         28 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                     genblk1.bitonic_merge_low    |                                              bitonic_merge_2s_1s_1s_569 |         28 |         28 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                       genblk1.cmp_g[0].compare_i |                                                         compare_1s_2801 |         28 |         28 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                     genblk1.cmp_g[0].compare_i   |                                                         compare_1s_2800 |         20 |         20 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                     genblk1.cmp_g[1].compare_i   |                                                         compare_1s_2799 |         22 |         22 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                   genblk1.bitonic_merge_low      |                                              bitonic_merge_4s_1s_2s_251 |         98 |         98 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                     genblk1.bitonic_merge_high   |                                              bitonic_merge_2s_1s_1s_568 |         28 |         28 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                       genblk1.cmp_g[0].compare_i |                                                         compare_1s_2798 |         28 |         28 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                     genblk1.bitonic_merge_low    |                                              bitonic_merge_2s_1s_1s_567 |         28 |         28 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                       genblk1.cmp_g[0].compare_i |                                                         compare_1s_2797 |         28 |         28 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                     genblk1.cmp_g[0].compare_i   |                                                         compare_1s_2796 |         22 |         22 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                     genblk1.cmp_g[1].compare_i   |                                                         compare_1s_2795 |         20 |         20 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                   genblk1.cmp_g[0].compare_i     |                                                         compare_1s_2793 |         22 |         22 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                   genblk1.cmp_g[1].compare_i     |                                                         compare_1s_2794 |         21 |         21 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                   genblk1.cmp_g[2].compare_i     |                                                         compare_1s_2791 |         22 |         22 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                   genblk1.cmp_g[3].compare_i     |                                                         compare_1s_2792 |         22 |         22 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                 genblk1.cmp_g[0].compare_i       |                                                         compare_1s_2789 |         27 |         27 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                 genblk1.cmp_g[1].compare_i       |                                                         compare_1s_2790 |         17 |         17 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
