Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Tue Mar 19 14:57:05 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_utilization -hierarchical -file hier_utilization.txt
| Design       : wrapper
| Device       : xcvu9pflgc2104-1
| Design State : Routed
------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+--------------------------------------------------+--------------------------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------+--------------+
|                     Instance                     |                                     Module                                     | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | URAM | DSP48 Blocks |
+--------------------------------------------------+--------------------------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------+--------------+
| wrapper                                          |                                                                          (top) |      72495 |      72495 |       0 |    0 | 11413 |      0 |      0 |    0 |            0 |
|   (wrapper)                                      |                                                                          (top) |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|   dut_inst                                       | muon_sorter_I256_O256_D000_BITONIC_TOPVHDL_PT1BIT-freq280x400retfan10000_rev_1 |      71640 |      71640 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|     (dut_inst)                                   | muon_sorter_I256_O256_D000_BITONIC_TOPVHDL_PT1BIT-freq280x400retfan10000_rev_1 |       4487 |       4487 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|     sorter_inst                                  |                                                      bitonic_sort_256s_1s_128s |      67160 |      67160 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|       genblk1.bitonic_merge_i                    |                                                     bitonic_merge_256s_1s_128s |      15250 |      15250 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|         genblk1.bitonic_merge_high               |                                                    bitonic_merge_128s_1s_64s_1 |       6606 |       6606 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|           genblk1.bitonic_merge_high             |                                                     bitonic_merge_64s_1s_32s_6 |       2866 |       2866 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|             genblk1.bitonic_merge_high           |                                                    bitonic_merge_32s_1s_16s_18 |       1197 |       1197 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|               genblk1.bitonic_merge_high         |                                                     bitonic_merge_16s_1s_8s_46 |        482 |        482 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                 genblk1.bitonic_merge_high       |                                                     bitonic_merge_8s_1s_4s_110 |        190 |        190 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                   genblk1.bitonic_merge_high     |                                                     bitonic_merge_4s_1s_2s_254 |         61 |         61 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                     genblk1.bitonic_merge_high   |                                                     bitonic_merge_2s_1s_1s_574 |         20 |         20 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                       genblk1.cmp_g[0].compare_i |                                                                compare_1s_2814 |         20 |         20 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                     genblk1.bitonic_merge_low    |                                                     bitonic_merge_2s_1s_1s_573 |         20 |         20 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                       genblk1.cmp_g[0].compare_i |                                                                compare_1s_2813 |         20 |         20 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                     genblk1.cmp_g[0].compare_i   |                                                                compare_1s_2812 |          2 |          2 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                     genblk1.cmp_g[1].compare_i   |                                                                compare_1s_2811 |         19 |         19 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                   genblk1.bitonic_merge_low      |                                                     bitonic_merge_4s_1s_2s_253 |         61 |         61 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                     genblk1.bitonic_merge_high   |                                                     bitonic_merge_2s_1s_1s_572 |         20 |         20 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                       genblk1.cmp_g[0].compare_i |                                                                compare_1s_2810 |         20 |         20 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                     genblk1.bitonic_merge_low    |                                                     bitonic_merge_2s_1s_1s_571 |         20 |         20 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                       genblk1.cmp_g[0].compare_i |                                                                compare_1s_2809 |         20 |         20 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                     genblk1.cmp_g[0].compare_i   |                                                                compare_1s_2808 |          6 |          6 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                     genblk1.cmp_g[1].compare_i   |                                                                compare_1s_2807 |         15 |         15 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                   genblk1.cmp_g[0].compare_i     |                                                                compare_1s_2805 |         19 |         19 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                   genblk1.cmp_g[1].compare_i     |                                                                compare_1s_2806 |         10 |         10 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                   genblk1.cmp_g[2].compare_i     |                                                                compare_1s_2803 |         19 |         19 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                   genblk1.cmp_g[3].compare_i     |                                                                compare_1s_2804 |         20 |         20 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                 genblk1.bitonic_merge_low        |                                                     bitonic_merge_8s_1s_4s_109 |        188 |        188 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                   genblk1.bitonic_merge_high     |                                                     bitonic_merge_4s_1s_2s_252 |         63 |         63 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                     genblk1.bitonic_merge_high   |                                                     bitonic_merge_2s_1s_1s_570 |         20 |         20 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                       genblk1.cmp_g[0].compare_i |                                                                compare_1s_2802 |         20 |         20 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                     genblk1.bitonic_merge_low    |                                                     bitonic_merge_2s_1s_1s_569 |         20 |         20 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                       genblk1.cmp_g[0].compare_i |                                                                compare_1s_2801 |         20 |         20 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                     genblk1.cmp_g[0].compare_i   |                                                                compare_1s_2800 |          7 |          7 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                     genblk1.cmp_g[1].compare_i   |                                                                compare_1s_2799 |         16 |         16 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                   genblk1.bitonic_merge_low      |                                                     bitonic_merge_4s_1s_2s_251 |         60 |         60 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                     genblk1.bitonic_merge_high   |                                                     bitonic_merge_2s_1s_1s_568 |         20 |         20 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                       genblk1.cmp_g[0].compare_i |                                                                compare_1s_2798 |         20 |         20 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|                     genblk1.bitonic_merge_low    |                                                     bitonic_merge_2s_1s_1s_567 |         20 |         20 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
