Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Thu Apr  4 22:19:02 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper_csn
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+-----------------------------------------------------------------------------+--------+-------------+
| Net Name                                                                    | Fanout | Driver Type |
+-----------------------------------------------------------------------------+--------+-------------+
| dut_inst/stage_g.31.pair_g.74.csn_cmp_inst/pt_708_0                         |     59 | LUT5        |
| dut_inst/stage_g.8.pair_g.18.csn_cmp_inst/un1_b_i_d0_c3_RNIK7RM2_1z         |     58 | LUT6        |
| dut_inst/stage_g.8.pair_g.23.csn_cmp_inst/un1_b_i_d0_c3_RNIGVSS3_1z         |     58 | LUT6        |
| dut_inst/stage_g.31.pair_g.3.csn_cmp_inst/pt_123_0                          |     57 | LUT6        |
| dut_inst/stage_g.8.pair_g.89.csn_cmp_inst/un1_b_i_d0_c3_RNIQOCN2_1z         |     57 | LUT5        |
| dut_inst/stage_g.14.pair_g.104.csn_cmp_inst/un1_b_i_d1_c3_RNIFP793_1z       |     56 | LUT6        |
| dut_inst/stage_g.23.pair_g.72.csn_cmp_inst/un1_b_i_d0_c3_RNIVS4T2_rep_10_1z |     56 | LUT6        |
| dut_inst/stage_g.29.pair_g.61.csn_cmp_inst/pt_551_0                         |     56 | LUT6        |
| dut_inst/stage_g.31.pair_g.79.csn_cmp_inst/pt_1008_0                        |     56 | LUT5        |
| dut_inst/stage_g.25.pair_g.57.csn_cmp_inst/un1_b_i_d0_c3_RNIVL3B1_1z        |     55 | LUT5        |
| dut_inst/stage_g.9.pair_g.62.csn_cmp_inst/un1_b_i_d0_ac0_5_RNIDN502_1z      |     55 | LUT6        |
| dut_inst/stage_g.18.pair_g.98.csn_cmp_inst/un1_b_i_d0_c3_RNIGAQO4_1z        |     54 | LUT6        |
| dut_inst/stage_g.19.pair_g.66.csn_cmp_inst/pt_3131_0                        |     54 | LUT6        |
| dut_inst/stage_g.19.pair_g.81.csn_cmp_inst/pt_2880_0                        |     54 | LUT6        |
| dut_inst/stage_g.30.pair_g.27.csn_cmp_inst/pt_1682_0                        |     54 | LUT6        |
| dut_inst/stage_g.29.pair_g.60.csn_cmp_inst/pt_550_0                         |     53 | LUT3        |
| dut_inst/stage_g.23.pair_g.89.csn_cmp_inst/un1_b_i_d0_c3_RNIEC4F3_1z        |     52 | LUT6        |
| dut_inst/stage_g.24.pair_g.13.csn_cmp_inst/un1_b_i_d0_c3_RNICMKH3_1z        |     52 | LUT6        |
| dut_inst/stage_g.24.pair_g.14.csn_cmp_inst/un1_b_i_d0_c3_RNIS9QQ4_1z        |     52 | LUT6        |
