Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Wed Apr 10 08:53:21 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper_csn_sel
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+-------------------------------------------------------------------------------------+--------+-------------+
| Net Name                                                                            | Fanout | Driver Type |
+-------------------------------------------------------------------------------------+--------+-------------+
| dut_inst/dut_inst/stage_g.23.pair_g.33.csn_cmp_inst/pt_2008_0                       |     57 | LUT6        |
| dut_inst/dut_inst/stage_g.23.pair_g.40.csn_cmp_inst/pt_2007_0                       |     53 | LUT5        |
| dut_inst/dut_inst/stage_g.28.pair_g.9.csn_cmp_inst/m1643_1z                         |     52 | LUT6        |
| dut_inst/dut_inst/stage_g.31.pair_g.36.csn_cmp_inst/un1_b_i_d0_c3_RNIF6SB3_1z       |     52 | LUT6        |
| dut_inst/dut_inst/stage_g.26.pair_g.6.csn_cmp_inst/un1_b_i_d0_c3_RNIP6FC5_1z        |     51 | LUT6        |
| dut_inst/dut_inst/stage_g.31.pair_g.64.csn_cmp_inst/un1_b_i_d0_c3_RNIBT1R4_1z       |     50 | LUT6        |
| dut_inst/dut_inst/stage_g.14.pair_g.71.csn_cmp_inst/un1_b_i_d1_ac0_5_RNIRLAB3_1z    |     49 | LUT6        |
| dut_inst/dut_inst/stage_g.21.pair_g.76.csn_cmp_inst/pt_1251_0                       |     49 | LUT5        |
| dut_inst/dut_inst/stage_g.28.pair_g.58.csn_cmp_inst/un1_b_i_d0_c3_RNIPOH31_1z       |     49 | LUT5        |
| dut_inst/dut_inst/stage_g.27.pair_g.3.csn_cmp_inst/idx_323_0                        |     48 | LUT6        |
| dut_inst/dut_inst/stage_g.30.pair_g.5.csn_cmp_inst/pt_415_0                         |     48 | LUT5        |
