Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Wed Apr 10 08:47:04 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_utilization -hierarchical -file hier_utilization.txt
| Design       : wrapper_csn_sel
| Device       : xcvu9pflgc2104-1
| Design State : Routed
------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+------------------------------------------+----------------------------------------------------------------------+------------+------------+---------+------+------+--------+--------+------+--------------+
|                 Instance                 |                                Module                                | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs | RAMB36 | RAMB18 | URAM | DSP48 Blocks |
+------------------------------------------+----------------------------------------------------------------------+------------+------------+---------+------+------+--------+--------+------+--------------+
| wrapper_csn_sel                          |                                                                (top) |      81182 |      81182 |       0 |    0 | 4796 |      0 |      0 |    0 |            0 |
|   (wrapper_csn_sel)                      |                                                                (top) |          0 |          0 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|   dut_inst                               | muon_sorter_I352_O064_D000_CSN_SEL_VHDL-freq280x400retfan10000_rev_1 |      80904 |      80904 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|     (dut_inst)                           | muon_sorter_I352_O064_D000_CSN_SEL_VHDL-freq280x400retfan10000_rev_1 |          2 |          2 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|     dut_inst                             |                                                                  csn |      80902 |      80902 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|       stage_g.0.pair_g.0.csn_cmp_inst    |                                        csn_cmp_false_false_false_704 |         10 |         10 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|       stage_g.0.pair_g.1.csn_cmp_inst    |                                        csn_cmp_false_false_false_962 |         10 |         10 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|       stage_g.0.pair_g.10.csn_cmp_inst   |                                        csn_cmp_false_false_false_730 |         11 |         11 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|       stage_g.0.pair_g.100.csn_cmp_inst  |                                        csn_cmp_false_false_false_982 |          9 |          9 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|       stage_g.0.pair_g.101.csn_cmp_inst  |                                        csn_cmp_false_false_false_984 |         10 |         10 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|       stage_g.0.pair_g.102.csn_cmp_inst  |                                        csn_cmp_false_false_false_987 |          7 |          7 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|       stage_g.0.pair_g.103.csn_cmp_inst  |                                        csn_cmp_false_false_false_990 |         10 |         10 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|       stage_g.0.pair_g.104.csn_cmp_inst  |                                        csn_cmp_false_false_false_993 |          8 |          8 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|       stage_g.0.pair_g.105.csn_cmp_inst  |                                        csn_cmp_false_false_false_996 |         10 |         10 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|       stage_g.0.pair_g.106.csn_cmp_inst  |                                        csn_cmp_false_false_false_999 |          8 |          8 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|       stage_g.0.pair_g.107.csn_cmp_inst  |                                       csn_cmp_false_false_false_1001 |          9 |          9 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|       stage_g.0.pair_g.108.csn_cmp_inst  |                                       csn_cmp_false_false_false_1003 |          9 |          9 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|       stage_g.0.pair_g.109.csn_cmp_inst  |                                       csn_cmp_false_false_false_1005 |         10 |         10 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|       stage_g.0.pair_g.11.csn_cmp_inst   |                                        csn_cmp_false_false_false_733 |         10 |         10 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|       stage_g.0.pair_g.110.csn_cmp_inst  |                                       csn_cmp_false_false_false_1007 |         10 |         10 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|       stage_g.0.pair_g.111.csn_cmp_inst  |                                       csn_cmp_false_false_false_1009 |          9 |          9 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|       stage_g.0.pair_g.112.csn_cmp_inst  |                                       csn_cmp_false_false_false_1011 |         10 |         10 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|       stage_g.0.pair_g.113.csn_cmp_inst  |                                       csn_cmp_false_false_false_1013 |         10 |         10 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|       stage_g.0.pair_g.114.csn_cmp_inst  |                                       csn_cmp_false_false_false_1015 |         10 |         10 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|       stage_g.0.pair_g.115.csn_cmp_inst  |                                       csn_cmp_false_false_false_1017 |         10 |         10 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|       stage_g.0.pair_g.116.csn_cmp_inst  |                                       csn_cmp_false_false_false_1019 |         10 |         10 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|       stage_g.0.pair_g.117.csn_cmp_inst  |                                       csn_cmp_false_false_false_1021 |         10 |         10 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|       stage_g.0.pair_g.118.csn_cmp_inst  |                                       csn_cmp_false_false_false_1023 |          9 |          9 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|       stage_g.0.pair_g.119.csn_cmp_inst  |                                       csn_cmp_false_false_false_1025 |         10 |         10 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|       stage_g.0.pair_g.12.csn_cmp_inst   |                                        csn_cmp_false_false_false_736 |          7 |          7 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|       stage_g.0.pair_g.120.csn_cmp_inst  |                                       csn_cmp_false_false_false_1027 |         10 |         10 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|       stage_g.0.pair_g.121.csn_cmp_inst  |                                       csn_cmp_false_false_false_1029 |         10 |         10 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|       stage_g.0.pair_g.122.csn_cmp_inst  |                                       csn_cmp_false_false_false_1031 |         10 |         10 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|       stage_g.0.pair_g.123.csn_cmp_inst  |                                       csn_cmp_false_false_false_1033 |         10 |         10 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|       stage_g.0.pair_g.124.csn_cmp_inst  |                                       csn_cmp_false_false_false_1035 |         10 |         10 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|       stage_g.0.pair_g.125.csn_cmp_inst  |                                       csn_cmp_false_false_false_1037 |         10 |         10 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|       stage_g.0.pair_g.126.csn_cmp_inst  |                                       csn_cmp_false_false_false_1039 |         10 |         10 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|       stage_g.0.pair_g.127.csn_cmp_inst  |                                       csn_cmp_false_false_false_1041 |         10 |         10 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|       stage_g.0.pair_g.128.csn_cmp_inst  |                                       csn_cmp_false_false_false_1043 |         10 |         10 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|       stage_g.0.pair_g.129.csn_cmp_inst  |                                       csn_cmp_false_false_false_1045 |          9 |          9 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|       stage_g.0.pair_g.13.csn_cmp_inst   |                                        csn_cmp_false_false_false_739 |          9 |          9 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|       stage_g.0.pair_g.130.csn_cmp_inst  |                                       csn_cmp_false_false_false_1047 |         10 |         10 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|       stage_g.0.pair_g.131.csn_cmp_inst  |                                       csn_cmp_false_false_false_1049 |         10 |         10 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|       stage_g.0.pair_g.132.csn_cmp_inst  |                                       csn_cmp_false_false_false_1051 |         10 |         10 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
