Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Sat Feb 23 13:47:37 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper_mux
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+----------------------------------------------------+--------+-------------+
| Net Name                                           | Fanout | Driver Type |
+----------------------------------------------------+--------+-------------+
| shift_reg_tap_i/input_slr_fast_rep_rep_1_0         |    324 | FDRE        |
| shift_reg_tap_i/input_slr_fast_rep_rep_8_0         |    324 | FDRE        |
| shift_reg_tap_i/input_slr_32770_rep1_rep_rep_105   |    292 | FDRE        |
| shift_reg_tap_i/input_slr_fast_rep_rep_2_0         |    273 | FDRE        |
| shift_reg_tap_i/input_slr_fast_rep_rep_7_0         |    256 | FDRE        |
| shift_reg_tap_i/input_slr_32769_rep1_rep_0_rep_188 |    253 | FDRE        |
| shift_reg_tap_i/input_slr_32770_rep1_rep_rep_104   |    253 | FDRE        |
| shift_reg_tap_i/input_slr_rep_0_rep_157_0          |    247 | FDRE        |
| shift_reg_tap_i/input_slr_32770_rep1_rep_0_rep_220 |    235 | FDRE        |
| shift_reg_tap_i/input_slr_32770_rep1_rep_rep_103   |    224 | FDRE        |
| shift_reg_tap_i/input_slr_rep_0_rep_155_0          |    214 | FDRE        |
| shift_reg_tap_i/input_slr_rep_rep_178_0            |    201 | FDRE        |
| shift_reg_tap_i/input_slr_32770_rep2_rep_0_rep_238 |    195 | FDRE        |
| shift_reg_tap_i/input_slr_32770_rep2_rep_rep_93    |    195 | FDRE        |
| shift_reg_tap_i/input_slr_32769_rep1_rep_rep_73    |    192 | FDRE        |
| shift_reg_tap_i/input_slr_32770_rep2_rep_rep_94    |    192 | FDRE        |
| shift_reg_tap_i/input_slr_32770_rep2_rep_rep_95    |    192 | FDRE        |
| shift_reg_tap_i/input_slr_32770_rep2_rep_rep_97    |    192 | FDRE        |
| shift_reg_tap_i/input_slr_32769_rep1_rep_rep_66    |    189 | FDRE        |
| shift_reg_tap_i/input_slr_32770_rep2_rep_0_rep_237 |    189 | FDRE        |
| shift_reg_tap_i/input_slr_fast_rep_rep_84_0        |    189 | FDRE        |
| shift_reg_tap_i/input_slr_32769_rep2_rep_rep_17    |    188 | FDRE        |
| shift_reg_tap_i/input_slr_32770_rep2_rep_rep_98    |    187 | FDRE        |
| shift_reg_tap_i/input_slr_32770_rep2_rep_rep_99    |    186 | FDRE        |
| shift_reg_tap_i/input_slr_fast_rep_0_rep_235_0     |    180 | FDRE        |
| shift_reg_tap_i/input_slr_32769_rep2_rep_rep_13    |    179 | FDRE        |
| shift_reg_tap_i/input_slr_rep_rep_172_0            |    179 | FDRE        |
| shift_reg_tap_i/input_slr_fast_rep_rep_6_0         |    176 | FDRE        |
| shift_reg_tap_i/input_slr_fast_rep_rep_4_0         |    173 | FDRE        |
| shift_reg_tap_i/input_slr_32770_rep1_rep_0_rep_223 |    169 | FDRE        |
| shift_reg_tap_i/input_slr_32769_rep1_rep_rep_67    |    166 | FDRE        |
| shift_reg_tap_i/input_slr_32769_rep1_rep_rep_68    |    166 | FDRE        |
| shift_reg_tap_i/input_slr_32769_rep1_rep_rep_72    |    166 | FDRE        |
| shift_reg_tap_i/input_slr_32770_rep2_rep_0_rep_236 |    166 | FDRE        |
| shift_reg_tap_i/input_slr_rep_231_0                |    166 | FDRE        |
| shift_reg_tap_i/input_slr_rep_0_rep_167_0          |    162 | FDRE        |
| shift_reg_tap_i/input_slr_rep_rep_176_0            |    159 | FDRE        |
| shift_reg_tap_i/input_slr_rep_0_rep_160_0          |    157 | FDRE        |
| shift_reg_tap_i/input_slr_rep_0_rep_161_0          |    157 | FDRE        |
| shift_reg_tap_i/input_slr_32769_rep2_rep_rep_15    |    155 | FDRE        |
| shift_reg_tap_i/input_slr_fast_rep_rep_89_0        |    155 | FDRE        |
| shift_reg_tap_i/input_slr_rep_rep_242_0            |    155 | FDRE        |
| shift_reg_tap_i/input_slr_32769_rep1_rep_rep_65    |    154 | FDRE        |
| shift_reg_tap_i/input_slr_rep_0_rep_165_0          |    154 | FDRE        |
| shift_reg_tap_i/input_slr_fast_rep_rep_90_0        |    150 | FDRE        |
| shift_reg_tap_i/input_slr_rep_0_rep_166_0          |    149 | FDRE        |
| shift_reg_tap_i/input_slr_32769_rep2_rep_0_rep_227 |    147 | FDRE        |
| shift_reg_tap_i/input_slr_fast_rep_rep_78_0        |    144 | FDRE        |
| shift_reg_tap_i/input_slr_rep_0_rep_164_0          |    144 | FDRE        |
| shift_reg_tap_i/input_slr_32770_rep2_rep_rep_96    |    143 | FDRE        |
| shift_reg_tap_i/input_slr_rep_230_0                |    141 | FDRE        |
| shift_reg_tap_i/input_slr_32769_rep2_rep_rep_18    |    140 | FDRE        |
| shift_reg_tap_i/input_slr_32770_rep1_rep_rep_108   |    140 | FDRE        |
| shift_reg_tap_i/input_slr_32770_rep1_rep_rep_109   |    140 | FDRE        |
| shift_reg_tap_i/input_slr_fast_rep_rep_86_0        |    138 | FDRE        |
| shift_reg_tap_i/input_slr_rep_rep_241_0            |    138 | FDRE        |
| shift_reg_tap_i/input_slr_32769_rep2_rep_rep_20    |    137 | FDRE        |
| shift_reg_tap_i/input_slr_fast_rep_rep_88_0        |    137 | FDRE        |
| shift_reg_tap_i/input_slr_32769_rep1_rep_rep_74    |    136 | FDRE        |
| shift_reg_tap_i/input_slr_32769_rep2_rep_rep_21    |    136 | FDRE        |
| shift_reg_tap_i/input_slr_32769_rep1_rep_0_rep_185 |    135 | FDRE        |
| shift_reg_tap_i/input_slr_32769_rep2_rep_rep_19    |    135 | FDRE        |
| shift_reg_tap_i/input_slr_rep_0_rep_151_0          |    135 | FDRE        |
| shift_reg_tap_i/input_slr_rep_0_rep_152_0          |    133 | FDRE        |
| shift_reg_tap_i/input_slr_32769_rep1_rep_0_rep_190 |    131 | FDRE        |
| shift_reg_tap_i/input_slr_fast_rep_rep_3_0         |    131 | FDRE        |
| shift_reg_tap_i/input_slr_rep_229_0                |    130 | FDRE        |
| shift_reg_tap_i/input_slr_fast_rep_rep_85_0        |    129 | FDRE        |
| shift_reg_tap_i/input_slr_fast_rep_0_rep_232_0     |    128 | FDRE        |
| shift_reg_tap_i/input_slr_fast_rep_0_rep_234_0     |    128 | FDRE        |
| shift_reg_tap_i/input_slr_rep_rep_240_0            |    128 | FDRE        |
| shift_reg_tap_i/input_slr_rep_rep_181_0            |    127 | FDRE        |
| shift_reg_tap_i/input_slr_rep_rep_51_0             |    127 | FDRE        |
| shift_reg_tap_i/input_slr_32769_rep2_rep_rep_12    |    124 | FDRE        |
| shift_reg_tap_i/input_slr_rep_rep_182_0            |    123 | FDRE        |
| shift_reg_tap_i/input_slr_32769_rep2_rep_rep_11    |    122 | FDRE        |
| shift_reg_tap_i/input_slr_fast_rep_rep_80_0        |    121 | FDRE        |
| shift_reg_tap_i/input_slr_32769_rep1_rep_rep_75    |    118 | FDRE        |
| shift_reg_tap_i/input_slr_32770_rep1_rep_rep_106   |    118 | FDRE        |
| shift_reg_tap_i/input_slr_rep_0_rep_153_0          |    118 | FDRE        |
| shift_reg_tap_i/input_slr_32770_rep1_rep_0_rep_221 |    117 | FDRE        |
| shift_reg_tap_i/input_slr_rep_rep_173_0            |    117 | FDRE        |
| shift_reg_tap_i/input_slr_32770_rep1_rep_rep_107   |    115 | FDRE        |
| shift_reg_tap_i/input_slr_rep_0_rep_159_0          |    115 | FDRE        |
| shift_reg_tap_i/input_slr_32769_rep1_rep_rep_71    |    112 | FDRE        |
| shift_reg_tap_i/input_slr_rep_0_rep_168_0          |    112 | FDRE        |
| shift_reg_tap_i/input_slr_32769_rep2_rep_rep_10    |    108 | FDRE        |
