Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Mon Feb 25 19:08:06 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper_mux
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+-------------------------------------------+--------+-------------+
| Net Name                                  | Fanout | Driver Type |
+-------------------------------------------+--------+-------------+
| shift_reg_tap_i/input_slr[65538]          |   5206 | FDRE        |
| shift_reg_tap_i/input_slr[65537]_repN_14  |    359 | FDRE        |
| shift_reg_tap_i/input_slr[65537]_repN_54  |    348 | FDRE        |
| shift_reg_tap_i/input_slr[65537]_repN_1   |    337 | FDRE        |
| shift_reg_tap_i/input_slr[65537]_repN_39  |    337 | FDRE        |
| shift_reg_tap_i/input_slr[65537]_repN_58  |    334 | FDRE        |
| shift_reg_tap_i/input_slr[65537]_repN     |    322 | FDRE        |
| shift_reg_tap_i/input_slr[65537]_repN_25  |    320 | FDRE        |
| shift_reg_tap_i/input_slr[65537]_repN_10  |    316 | FDRE        |
| shift_reg_tap_i/input_slr[65537]_repN_57  |    316 | FDRE        |
| shift_reg_tap_i/input_slr[65537]_repN_9   |    313 | FDRE        |
| shift_reg_tap_i/input_slr[65537]_repN_24  |    312 | FDRE        |
| shift_reg_tap_i/input_slr[65537]_repN_42  |    311 | FDRE        |
| shift_reg_tap_i/input_slr[65537]_repN_16  |    306 | FDRE        |
| shift_reg_tap_i/input_slr[65538]_repN_14  |    306 | FDRE        |
| shift_reg_tap_i/input_slr[65537]_repN_21  |    305 | FDRE        |
| shift_reg_tap_i/input_slr[65538]_repN_27  |    305 | FDRE        |
| shift_reg_tap_i/input_slr[65537]_repN_33  |    304 | FDRE        |
| shift_reg_tap_i/input_slr[65538]_repN_2   |    304 | FDRE        |
| shift_reg_tap_i/input_slr[65538]_repN_33  |    304 | FDRE        |
| shift_reg_tap_i/input_slr[65537]_repN_67  |    302 | FDRE        |
