Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Tue Feb 26 01:11:46 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper_mux
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+-------------------------------------------+--------+-------------+
| Net Name                                  | Fanout | Driver Type |
+-------------------------------------------+--------+-------------+
| shift_reg_tap_i/input_slr[65537]_repN_3   |    326 | FDRE        |
| shift_reg_tap_i/input_slr[65538]_repN_3   |    326 | FDRE        |
| shift_reg_tap_i/input_slr[65537]_repN_19  |    318 | FDRE        |
| shift_reg_tap_i/input_slr[65537]_repN_38  |    318 | FDRE        |
| shift_reg_tap_i/input_slr[65538]_repN_20  |    318 | FDRE        |
| shift_reg_tap_i/input_slr[65538]_repN_33  |    318 | FDRE        |
| shift_reg_tap_i/input_slr[65537]_repN     |    317 | FDRE        |
| shift_reg_tap_i/input_slr[65538]_repN     |    317 | FDRE        |
| shift_reg_tap_i/input_slr[65537]_repN_4   |    306 | FDRE        |
| shift_reg_tap_i/input_slr[65538]_repN_4   |    306 | FDRE        |
| shift_reg_tap_i/input_slr[65537]_repN_2   |    297 | FDRE        |
| shift_reg_tap_i/input_slr[65538]_repN_2   |    297 | FDRE        |
| shift_reg_tap_i/input_slr[65537]_repN_44  |    291 | FDRE        |
| shift_reg_tap_i/input_slr[65538]_repN_42  |    291 | FDRE        |
| shift_reg_tap_i/input_slr[65537]_repN_29  |    287 | FDRE        |
| shift_reg_tap_i/input_slr[65538]_repN_31  |    287 | FDRE        |
| shift_reg_tap_i/input_slr[65537]_repN_25  |    285 | FDRE        |
| shift_reg_tap_i/input_slr[65537]_repN_30  |    285 | FDRE        |
| shift_reg_tap_i/input_slr[65537]_repN_40  |    285 | FDRE        |
| shift_reg_tap_i/input_slr[65538]_repN_22  |    285 | FDRE        |
