Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Wed Feb 20 03:47:09 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper_mux
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+----------------------------------------------------+--------+-------------+
| Net Name                                           | Fanout | Driver Type |
+----------------------------------------------------+--------+-------------+
| shift_reg_tap_i/input_slr[131073]_repN_54          |    667 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_43          |    661 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_6           |    654 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_55          |    652 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_27          |    645 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_51          |    645 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_22          |    644 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_63          |    643 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_57          |    616 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_35          |    607 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_45          |    607 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_66          |    591 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_50          |    587 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_21          |    582 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_19          |    581 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_34          |    571 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_60          |    563 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_44          |    556 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN             |    554 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_25          |    554 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_39          |    552 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_61          |    549 | FDRE        |
