Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Wed Feb 20 15:38:09 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper_mux
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+-------------------------------------------+--------+-------------+
| Net Name                                  | Fanout | Driver Type |
+-------------------------------------------+--------+-------------+
| shift_reg_tap_i/input_slr[131073]         |  40811 | FDRE        |
| shift_reg_tap_i/input_slr[131074]         |  35409 | FDRE        |
| shift_reg_tap_i/input_slr_rep[131076]     |    538 | FDRE        |
| shift_reg_tap_i/input_slr_rep_rep_26_0    |    368 | FDRE        |
| shift_reg_tap_i/input_slr[131077]         |    352 | FDRE        |
| shift_reg_tap_i/input_slr_rep[131075]     |    352 | FDRE        |
| shift_reg_tap_i/input_slr_rep_3_rep_67_0  |    345 | FDRE        |
| shift_reg_tap_i/input_slr[131078]         |    336 | FDRE        |
| shift_reg_tap_i/input_slr_rep_rep_119_0   |    336 | FDRE        |
| shift_reg_tap_i/input_slr_rep_rep_124_0   |    336 | FDRE        |
| shift_reg_tap_i/input_slr_rep_rep_128_0   |    336 | FDRE        |
| shift_reg_tap_i/input_slr_rep_rep_133_0   |    336 | FDRE        |
| shift_reg_tap_i/input_slr_rep_1_rep_138_0 |    328 | FDRE        |
| shift_reg_tap_i/input_slr_rep_1_rep_83_0  |    264 | FDRE        |
| shift_reg_tap_i/input_slr_rep_0_rep_110_0 |    256 | FDRE        |
| shift_reg_tap_i/input_slr_rep_164_0       |    256 | FDRE        |
| shift_reg_tap_i/input_slr_rep_3_rep_70_0  |    256 | FDRE        |
| shift_reg_tap_i/input_slr_rep_rep_131_0   |    256 | FDRE        |
| shift_reg_tap_i/input_slr_rep_2_rep_90_0  |    248 | FDRE        |
| shift_reg_tap_i/input_slr_rep_0_rep_156_0 |    240 | FDRE        |
| shift_reg_tap_i/input_slr_rep_4_rep_58_0  |    240 | FDRE        |
| shift_reg_tap_i/input_slr_rep_rep_34_0    |    232 | FDRE        |
| shift_reg_tap_i/input_slr_rep_0_rep_154_0 |    224 | FDRE        |
| shift_reg_tap_i/input_slr_rep_158_0       |    224 | FDRE        |
| shift_reg_tap_i/input_slr_rep_160_0       |    224 | FDRE        |
| shift_reg_tap_i/input_slr_rep_rep_25_0    |    224 | FDRE        |
| shift_reg_tap_i/input_slr_rep_0_rep_113_0 |    216 | FDRE        |
| shift_reg_tap_i/input_slr_rep_3_rep_65_0  |    216 | FDRE        |
| shift_reg_tap_i/input_slr_rep_4_rep_55_0  |    216 | FDRE        |
| shift_reg_tap_i/input_slr_rep_2_rep_93_0  |    208 | FDRE        |
| shift_reg_tap_i/input_slr_rep_3_rep_4_0   |    208 | FDRE        |
| shift_reg_tap_i/input_slr_rep_3_rep_6_0   |    208 | FDRE        |
| shift_reg_tap_i/input_slr_rep_1_rep_77_0  |    192 | FDRE        |
| shift_reg_tap_i/input_slr_rep_2_rep_100_0 |    192 | FDRE        |
| shift_reg_tap_i/input_slr_rep_2_rep_95_0  |    192 | FDRE        |
| shift_reg_tap_i/input_slr_rep_3_rep_2_0   |    192 | FDRE        |
| shift_reg_tap_i/input_slr_rep_3_rep_72_0  |    192 | FDRE        |
| shift_reg_tap_i/input_slr_rep_rep_35_0    |    192 | FDRE        |
| shift_reg_tap_i/input_slr_rep_0_rep_115_0 |    184 | FDRE        |
| shift_reg_tap_i/input_slr_rep_0_rep_44_0  |    184 | FDRE        |
| shift_reg_tap_i/input_slr_rep_2_rep_103_0 |    184 | FDRE        |
| shift_reg_tap_i/input_slr_rep_4_rep_16_0  |    184 | FDRE        |
| shift_reg_tap_i/input_slr_rep_3_rep_66_0  |    180 | FDRE        |
| shift_reg_tap_i/input_slr_rep_162_0       |    178 | FDRE        |
| shift_reg_tap_i/input_slr_rep_3_rep_7_0   |    178 | FDRE        |
| shift_reg_tap_i/input_slr[131082]         |    176 | FDRE        |
| shift_reg_tap_i/input_slr_rep_1_rep_76_0  |    176 | FDRE        |
| shift_reg_tap_i/input_slr_rep_1_rep_82_0  |    176 | FDRE        |
| shift_reg_tap_i/input_slr_rep_4_rep_20_0  |    176 | FDRE        |
| shift_reg_tap_i/input_slr_rep_rep_122_0   |    176 | FDRE        |
