Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Thu Feb 21 06:07:36 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper_mux
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+-----------------------------------+--------+-------------+
| Net Name                          | Fanout | Driver Type |
+-----------------------------------+--------+-------------+
| shift_reg_tap_i/input_slr[131073] |  45567 | FDRE        |
| shift_reg_tap_i/input_slr[131074] |  38944 | FDRE        |
| shift_reg_tap_i/input_slr[131075] |   9196 | FDRE        |
| shift_reg_tap_i/input_slr[131076] |   7990 | FDRE        |
| shift_reg_tap_i/input_slr[131077] |   2208 | FDRE        |
| shift_reg_tap_i/input_slr[131078] |   1984 | FDRE        |
| shift_reg_tap_i/input_slr[131079] |    544 | FDRE        |
| shift_reg_tap_i/input_slr[131080] |    512 | FDRE        |
| shift_reg_tap_i/input_slr[131081] |    128 | FDRE        |
| shift_reg_tap_i/input_slr[131082] |    128 | FDRE        |
| shift_reg_tap_i/input_slr[131083] |     32 | FDRE        |
| shift_reg_tap_i/input_slr[131084] |     32 | FDRE        |
| lsfr_1/input_vector[131083]       |      3 | FDRE        |
| lsfr_1/input_vector[77985]        |      3 | FDRE        |
| lsfr_1/input_vector[0]            |      2 | FDRE        |
| lsfr_1/input_vector[100000]       |      2 | FDRE        |
| lsfr_1/input_vector[100001]       |      2 | FDRE        |
| lsfr_1/input_vector[100002]       |      2 | FDRE        |
| lsfr_1/input_vector[100003]       |      2 | FDRE        |
| lsfr_1/input_vector[100004]       |      2 | FDRE        |
| lsfr_1/input_vector[100005]       |      2 | FDRE        |
| lsfr_1/input_vector[100006]       |      2 | FDRE        |
| lsfr_1/input_vector[100007]       |      2 | FDRE        |
| lsfr_1/input_vector[100008]       |      2 | FDRE        |
| lsfr_1/input_vector[100009]       |      2 | FDRE        |
| lsfr_1/input_vector[10000]        |      2 | FDRE        |
| lsfr_1/input_vector[100010]       |      2 | FDRE        |
| lsfr_1/input_vector[100011]       |      2 | FDRE        |
| lsfr_1/input_vector[100012]       |      2 | FDRE        |
| lsfr_1/input_vector[100013]       |      2 | FDRE        |
| lsfr_1/input_vector[100014]       |      2 | FDRE        |
| lsfr_1/input_vector[100015]       |      2 | FDRE        |
| lsfr_1/input_vector[100016]       |      2 | FDRE        |
| lsfr_1/input_vector[100017]       |      2 | FDRE        |
| lsfr_1/input_vector[100018]       |      2 | FDRE        |
| lsfr_1/input_vector[100019]       |      2 | FDRE        |
| lsfr_1/input_vector[10001]        |      2 | FDRE        |
| lsfr_1/input_vector[100020]       |      2 | FDRE        |
| lsfr_1/input_vector[100021]       |      2 | FDRE        |
| lsfr_1/input_vector[100022]       |      2 | FDRE        |
| lsfr_1/input_vector[100023]       |      2 | FDRE        |
| lsfr_1/input_vector[100024]       |      2 | FDRE        |
| lsfr_1/input_vector[100025]       |      2 | FDRE        |
| lsfr_1/input_vector[100026]       |      2 | FDRE        |
| lsfr_1/input_vector[100027]       |      2 | FDRE        |
| lsfr_1/input_vector[100028]       |      2 | FDRE        |
| lsfr_1/input_vector[100029]       |      2 | FDRE        |
| lsfr_1/input_vector[10002]        |      2 | FDRE        |
| lsfr_1/input_vector[100030]       |      2 | FDRE        |
| lsfr_1/input_vector[100031]       |      2 | FDRE        |
| lsfr_1/input_vector[100032]       |      2 | FDRE        |
| lsfr_1/input_vector[100033]       |      2 | FDRE        |
| lsfr_1/input_vector[100034]       |      2 | FDRE        |
| lsfr_1/input_vector[100035]       |      2 | FDRE        |
| lsfr_1/input_vector[100036]       |      2 | FDRE        |
| lsfr_1/input_vector[100037]       |      2 | FDRE        |
| lsfr_1/input_vector[100038]       |      2 | FDRE        |
| lsfr_1/input_vector[100039]       |      2 | FDRE        |
| lsfr_1/input_vector[10003]        |      2 | FDRE        |
| lsfr_1/input_vector[100040]       |      2 | FDRE        |
| lsfr_1/input_vector[100041]       |      2 | FDRE        |
| lsfr_1/input_vector[100042]       |      2 | FDRE        |
| lsfr_1/input_vector[100043]       |      2 | FDRE        |
| lsfr_1/input_vector[100044]       |      2 | FDRE        |
| lsfr_1/input_vector[100045]       |      2 | FDRE        |
| lsfr_1/input_vector[100046]       |      2 | FDRE        |
| lsfr_1/input_vector[100047]       |      2 | FDRE        |
| lsfr_1/input_vector[100048]       |      2 | FDRE        |
| lsfr_1/input_vector[100049]       |      2 | FDRE        |
| lsfr_1/input_vector[10004]        |      2 | FDRE        |
| lsfr_1/input_vector[100050]       |      2 | FDRE        |
| lsfr_1/input_vector[100051]       |      2 | FDRE        |
| lsfr_1/input_vector[100052]       |      2 | FDRE        |
| lsfr_1/input_vector[100053]       |      2 | FDRE        |
| lsfr_1/input_vector[100054]       |      2 | FDRE        |
| lsfr_1/input_vector[100055]       |      2 | FDRE        |
| lsfr_1/input_vector[100056]       |      2 | FDRE        |
| lsfr_1/input_vector[100057]       |      2 | FDRE        |
| lsfr_1/input_vector[100058]       |      2 | FDRE        |
| lsfr_1/input_vector[100059]       |      2 | FDRE        |
| lsfr_1/input_vector[10005]        |      2 | FDRE        |
| lsfr_1/input_vector[100060]       |      2 | FDRE        |
| lsfr_1/input_vector[100061]       |      2 | FDRE        |
| lsfr_1/input_vector[100062]       |      2 | FDRE        |
| lsfr_1/input_vector[100063]       |      2 | FDRE        |
| lsfr_1/input_vector[100064]       |      2 | FDRE        |
| lsfr_1/input_vector[100065]       |      2 | FDRE        |
| lsfr_1/input_vector[100066]       |      2 | FDRE        |
| lsfr_1/input_vector[100067]       |      2 | FDRE        |
| lsfr_1/input_vector[100068]       |      2 | FDRE        |
| lsfr_1/input_vector[100069]       |      2 | FDRE        |
| lsfr_1/input_vector[10006]        |      2 | FDRE        |
| lsfr_1/input_vector[100070]       |      2 | FDRE        |
