Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Thu Feb 28 12:16:25 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper_mux
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+-------------------------------------------+--------+-------------+
| Net Name                                  | Fanout | Driver Type |
+-------------------------------------------+--------+-------------+
| shift_reg_tap_i/input_slr[131073]_repN_5  |    829 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_40 |    817 | FDRE        |
| shift_reg_tap_i/input_slr[131073]         |    814 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_41 |    808 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_2  |    801 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_44 |    800 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_66 |    798 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_53 |    797 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_15 |    786 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_43 |    762 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_38 |    752 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_59 |    747 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_24 |    740 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_64 |    740 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_9  |    729 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_26 |    708 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_51 |    707 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_48 |    701 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_36 |    698 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_45 |    689 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_14 |    686 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_67 |    684 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_16 |    679 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_32 |    679 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_61 |    677 | FDRE        |
| shift_reg_tap_i/input_slr[131074]_repN_66 |    661 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_8  |    659 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_1  |    657 | FDRE        |
| shift_reg_tap_i/input_slr[131074]_repN_41 |    657 | FDRE        |
| shift_reg_tap_i/input_slr[131074]_repN_46 |    652 | FDRE        |
| shift_reg_tap_i/input_slr[131074]_repN_42 |    644 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_21 |    635 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_33 |    633 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_54 |    632 | FDRE        |
| shift_reg_tap_i/input_slr[131074]_repN_38 |    628 | FDRE        |
| shift_reg_tap_i/input_slr[131074]_repN_43 |    618 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_42 |    616 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_19 |    615 | FDRE        |
| shift_reg_tap_i/input_slr[131074]_repN_57 |    615 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_27 |    613 | FDRE        |
| shift_reg_tap_i/input_slr[131074]_repN_18 |    612 | FDRE        |
| shift_reg_tap_i/input_slr[131074]_repN_67 |    610 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_39 |    607 | FDRE        |
| shift_reg_tap_i/input_slr[131074]_repN_45 |    606 | FDRE        |
| shift_reg_tap_i/input_slr[131074]_repN_22 |    603 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_29 |    602 | FDRE        |
| shift_reg_tap_i/input_slr[131074]_repN_33 |    599 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_69 |    598 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_37 |    594 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_20 |    591 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_4  |    591 | FDRE        |
| shift_reg_tap_i/input_slr[131078]         |    589 | FDRE        |
| shift_reg_tap_i/input_slr[131074]_repN_64 |    588 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_63 |    583 | FDRE        |
| shift_reg_tap_i/input_slr[131074]_repN_59 |    583 | FDRE        |
| shift_reg_tap_i/input_slr[131074]_repN_70 |    578 | FDRE        |
| shift_reg_tap_i/input_slr[131074]_repN_9  |    573 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_49 |    571 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_3  |    570 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_11 |    569 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_57 |    558 | FDRE        |
| shift_reg_tap_i/input_slr[131074]_repN_30 |    555 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_35 |    554 | FDRE        |
| shift_reg_tap_i/input_slr[131074]_repN_47 |    551 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_50 |    550 | FDRE        |
| shift_reg_tap_i/input_slr[131074]_repN_50 |    550 | FDRE        |
| shift_reg_tap_i/input_slr[131074]_repN_61 |    550 | FDRE        |
| shift_reg_tap_i/input_slr[131074]_repN_68 |    550 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_7  |    549 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_62 |    546 | FDRE        |
| shift_reg_tap_i/input_slr[131074]_repN_53 |    541 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_17 |    540 | FDRE        |
| shift_reg_tap_i/input_slr[131074]_repN_32 |    539 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_31 |    537 | FDRE        |
| shift_reg_tap_i/input_slr[131074]_repN_54 |    533 | FDRE        |
| shift_reg_tap_i/input_slr[131074]_repN_23 |    527 | FDRE        |
| shift_reg_tap_i/input_slr[131074]_repN_36 |    524 | FDRE        |
| shift_reg_tap_i/input_slr[131074]_repN_8  |    522 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_34 |    520 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_18 |    519 | FDRE        |
| shift_reg_tap_i/input_slr[131074]_repN_2  |    517 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_56 |    509 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_12 |    508 | FDRE        |
| shift_reg_tap_i/input_slr[131074]_repN_24 |    508 | FDRE        |
| shift_reg_tap_i/input_slr[131074]_repN_20 |    505 | FDRE        |
| shift_reg_tap_i/input_slr[131074]_repN_26 |    499 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_25 |    492 | FDRE        |
| shift_reg_tap_i/input_slr[131074]_repN_16 |    490 | FDRE        |
| shift_reg_tap_i/input_slr[131074]_repN_3  |    486 | FDRE        |
| shift_reg_tap_i/input_slr[131074]_repN_5  |    486 | FDRE        |
| shift_reg_tap_i/input_slr[131074]_repN_21 |    484 | FDRE        |
| shift_reg_tap_i/input_slr[131073]_repN_65 |    479 | FDRE        |
