Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Mon Feb  4 20:02:28 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+------------------------------------------+--------+-------------+
| Net Name                                 | Fanout | Driver Type |
+------------------------------------------+--------+-------------+
| muon_cand_2.pt[3]                        |     41 | FDRE        |
| muon_cand_3.pt[3]                        |     41 | FDRE        |
| muon_cand_1.pt[3]                        |     40 | FDRE        |
| muon_cand_6.pt[3]                        |     38 | FDRE        |
| muon_cand_0.pt[3]                        |     37 | FDRE        |
| muon_cand_1.pt[2]                        |     37 | FDRE        |
| muon_cand_13.pt[3]                       |     37 | FDRE        |
| muon_cand_13.pt[2]                       |     36 | FDRE        |
| muon_cand_3.pt[2]                        |     36 | FDRE        |
| muon_cand_4.pt[3]                        |     36 | FDRE        |
| muon_cand_6.pt[2]                        |     36 | FDRE        |
| muon_cand_14.pt[3]                       |     33 | FDRE        |
| muon_cand_4.pt[0]                        |     33 | FDRE        |
| muon_cand_4.pt[1]                        |     33 | FDRE        |
| muon_cand_4.pt[2]                        |     33 | FDRE        |
| muon_cand_1.pt[0]                        |     32 | FDRE        |
| muon_cand_1.pt[1]                        |     32 | FDRE        |
| muon_cand_11.pt[2]                       |     32 | FDRE        |
| muon_cand_11.pt[3]                       |     32 | FDRE        |
| muon_cand_12.pt[3]                       |     32 | FDRE        |
| muon_cand_15.pt[3]                       |     32 | FDRE        |
| muon_cand_2.pt[2]                        |     32 | FDRE        |
| muon_cand_7.pt[3]                        |     32 | FDRE        |
| muon_cand_0.pt[2]                        |     31 | FDRE        |
| muon_cand_12.pt[2]                       |     31 | FDRE        |
| muon_cand_5.pt[2]                        |     31 | FDRE        |
| muon_cand_10.pt[2]                       |     30 | FDRE        |
| muon_cand_10.pt[3]                       |     30 | FDRE        |
| muon_cand_3.pt[0]                        |     30 | FDRE        |
| muon_cand_3.pt[1]                        |     30 | FDRE        |
| muon_cand_5.pt[3]                        |     30 | FDRE        |
| muon_cand_0.pt[0]                        |     29 | FDRE        |
| muon_cand_0.pt[1]                        |     29 | FDRE        |
| muon_cand_15.pt[2]                       |     29 | FDRE        |
| muon_cand_5.pt[0]                        |     29 | FDRE        |
| muon_cand_5.pt[1]                        |     29 | FDRE        |
| muon_cand_9.pt[2]                        |     29 | FDRE        |
| muon_cand_9.pt[3]                        |     29 | FDRE        |
| muon_cand_2.pt[0]                        |     28 | FDRE        |
| muon_cand_2.pt[1]                        |     28 | FDRE        |
| muon_cand_6.pt[0]                        |     28 | FDRE        |
| muon_cand_6.pt[1]                        |     28 | FDRE        |
| muon_cand_7.pt[0]                        |     28 | FDRE        |
| muon_cand_7.pt[1]                        |     28 | FDRE        |
| muon_cand_7.pt[2]                        |     28 | FDRE        |
| muon_cand_14.pt[2]                       |     27 | FDRE        |
| muon_cand_15.pt[0]                       |     27 | FDRE        |
| muon_cand_15.pt[1]                       |     27 | FDRE        |
| muon_cand_12.pt[0]                       |     26 | FDRE        |
| muon_cand_12.pt[1]                       |     26 | FDRE        |
| muon_cand_14.pt[0]                       |     26 | FDRE        |
| muon_cand_14.pt[1]                       |     26 | FDRE        |
| muon_cand_10.pt[0]                       |     25 | FDRE        |
| muon_cand_10.pt[1]                       |     25 | FDRE        |
| muon_cand_11.pt[0]                       |     25 | FDRE        |
| muon_cand_11.pt[1]                       |     25 | FDRE        |
| muon_cand_13.pt[0]                       |     25 | FDRE        |
| muon_cand_13.pt[1]                       |     25 | FDRE        |
| muon_cand_8.pt[2]                        |     25 | FDRE        |
| muon_cand_8.pt[3]                        |     25 | FDRE        |
| muon_cand_8.pt[0]                        |     23 | FDRE        |
| muon_cand_8.pt[1]                        |     23 | FDRE        |
| muon_cand_9.pt[0]                        |     23 | FDRE        |
| muon_cand_9.pt[1]                        |     23 | FDRE        |
